segmento,ruta,rutas_fuente,es_principal,criterio_seleccion,pax_2019,pax_2020,pax_2021,pax_2022,pax_2023,pax_2024,pax_2025,pax_2019_1s,pax_2026_1s,var_2025,var_2026_1s,valoracion
internacional,Región Buenos Aires - Zurich,Ezeiza - Zurich,False,,50591,12758,2574,3923,1027,5,252,25560,0,-99.50188768753335,-100.0,Muy por debajo de 2019
internacional,Córdoba - Punta del Este,Córdoba - Punta del Este,False,,8544,2296,17,229,111,157,219,8194,1865,-97.43679775280899,-77.23944349524042,Muy por debajo de 2019
internacional,Rosario - San Pablo,Rosario - San Pablo,False,,35199,203,3,1398,30331,9283,215,34757,37835,-99.38918719281797,8.85577006070719,Muy por debajo de 2019
internacional,Región Buenos Aires - Foz Do Iguaçu,Aeroparque - Foz Do Iguaçu,False,,8,0,11,0,24,145,182,0,182,2175.0,,Recuperación amplia
internacional,Región Buenos Aires - Manaus,Ezeiza - Manaus,False,,9512,0,0,0,0,0,161,5180,321,-98.30740117746005,-93.80308880308881,Muy por debajo de 2019
internacional,Córdoba - Porto Alegre,Córdoba - Porto Alegre,False,,8154,2,0,9,144,0,131,8058,176,-98.3934265391219,-97.81583519483743,Muy por debajo de 2019
internacional,Porto Alegre - Rosario,Rosario - Porto Alegre,False,,6459,0,0,123,56,0,89,6459,21,-98.62207772100945,-99.67487227124941,Muy por debajo de 2019
internacional,Región Buenos Aires - Toronto,Ezeiza - Toronto,False,,19087,142,0,1399,4,0,24,18688,7,-99.87425996751715,-99.96254280821918,Muy por debajo de 2019
internacional,Región Buenos Aires - Newark,Ezeiza - Newark,False,,112999,2,3,2,0,4,23,68343,0,-99.97964583757378,-100.0,Muy por debajo de 2019
internacional,Salta - Santa Cruz de la Sierra,Salta - Santa Cruz de la Sierra,False,,8370,3,0,186,11,17,12,7215,330,-99.85663082437276,-95.42619542619542,Muy por debajo de 2019
internacional,Región Buenos Aires - Los Angeles,Ezeiza - Los Angeles,False,,74166,16399,5,79,5,7,11,36637,0,-99.98516840600814,-100.0,Muy por debajo de 2019
internacional,San Pablo - Tucumán,Tucumán - San Pablo,False,,4547,0,0,0,139,1,3,4547,0,-99.934022432373,-100.0,Muy por debajo de 2019
internacional,Santiago - Tucumán,Tucumán - Santiago,False,,4828,0,9,7,0,0,3,4828,0,-99.93786246893124,-100.0,Muy por debajo de 2019
internacional,San Juan - Santiago,San Juan - Santiago,False,,13,14,0,27,3,0,2,13,0,-84.61538461538461,-100.0,Muy por debajo de 2019
internacional,Región Buenos Aires - Caracas,Ezeiza - Caracas,False,,33857,8802,342,1969,462,2,1,17984,0,-99.99704640103967,-100.0,Muy por debajo de 2019
internacional,Córdoba - Samana,Córdoba - Samana,False,,0,0,0,0,0,0,0,0,0,,,Sin base 2019
internacional,Iquique - Salta,Salta - Iquique,False,,3334,1768,0,0,0,114,0,3334,3033,-100.0,-9.028194361127772,Muy por debajo de 2019
internacional,Neuquén - Santiago,Neuquén - Santiago,False,,27801,3,0,0,0,7,0,18420,7970,-100.0,-56.73181324647123,Muy por debajo de 2019
internacional,Recife - Rosario,Rosario - Recife,False,,15966,2856,0,0,0,0,0,7862,0,-100.0,-100.0,Muy por debajo de 2019
internacional,Región Buenos Aires - Cayo Coco,Ezeiza - Cayo Coco,False,,8576,1679,0,1864,4475,1573,0,4380,0,-100.0,-100.0,Muy por debajo de 2019
internacional,Región Buenos Aires - Havana,Ezeiza - Havana,False,,6157,2782,1473,3774,8087,3737,0,4042,0,-100.0,-100.0,Muy por debajo de 2019
internacional,Región Buenos Aires - Londres (Gatwick),Ezeiza - Londres (Gatwick),False,,176192,28061,154,0,0,0,0,81129,0,-100.0,-100.0,Muy por debajo de 2019
internacional,Región Buenos Aires - Navegantes,Ezeiza - Navegantes,False,,14088,0,0,0,0,7571,0,13923,0,-100.0,-100.0,Muy por debajo de 2019
