iata;oaci;continent;latitude;longitude;municipality;country
AEL;KAEL;NA;4.368.149.948;'-93.36720276;Albert Lea;US
AEO;GQNA;AF;16.711.299.896.240.200;'-9.637880325317383;Aioun El Atrouss;MR
AEP;SABE;SA;'-34.5592;'-58.4156;Buenos Aires;AR
AER;URSS;EU;43.449.902;399.566;Sochi;RU
AES;ENAL;EU;625.625;61.197;Ålesund;NO
AET;PFAL;NA;66.551.804;'-152.621994;Allakaket;US
AEU;OIBA;AS;258.757;55.033.001;Abu Musa;IR
AEX;KAEX;NA;313.274;'-92.549797;Alexandria;US
AEY;BIAR;EU;65.656.573;'-18.072018;Akureyri;IS
AFA;SAMR;SA;'-34.588299;'-68.4039;San Rafael;AR
AFD;FAPA;AF;'-33.555057;26.881.656;Port Alfred;ZA
AFF;KAFF;NA;38.972.497;'-104.821125;Colorado Springs;US
AFI;SKAM;SA;6.895.033;'-75.047334;Amalfi;CO
AFL;SBAT;SA;'-9.866389;'-56.106298;Alta Floresta;BR
AFN;KAFN;NA;42.805.099;'-72.002998;Jaffrey;US
AFO;KAFO;NA;427.112.007.141;'-110.942001343;Afton;US
AFS;UTSN;AS;41.613.899;642.332;Zarafshan;UZ
AFW;KAFW;NA;3.299.044;'-97.31947;Fort Worth;US
AFY;LTAH;AS;38.726.398;30.601.101;Afyonkarahisar;TR
AFZ;OIMS;AS;3.616.809.844.970.700;5.759.519.958.496.090;Sabzevar;IR
AGA;GMAD;AF;30.322.478;'-9.412003;Agadir (Temsia);MA
AGB;EDMA;EU;48.425.278;10.931.667;Augsburg;DE
AGC;KAGC;NA;40.354.401;'-79.930199;Pittsburgh;US
AGD;;AS;'-1.3858;1.338.737;Anggi-Papua Island;ID
AGE;EDWG;EU;53.782.544;7.919.584;Wangerooge;DE
AGF;LFBA;EU;44.174.171;0.59309;Agen;FR
AGH;ESTA;EU;5.629.610.061.645.500;12.847.100.257.873.500;Ängelholm;SE
AGI;SMWA;SA;5.841.252;'-56.673247;Wageningen;SR
AGJ;RORA;AS;26.592.755;127.240.335;Aguni;JP
AGM;;NA;65.612.296;'-37.618335;Tasiilaq;GL
AGN;PAGN;NA;57.497.097;'-134.56722;Angoon;US
AGO;KAGO;NA;33.228.001;'-93.217002;Magnolia;US
AGP;LEMG;EU;366.749;'-4.49911;Málaga;ES
AGR;VIAG;AS;27.157.683;77.960.942;Agra;IN
AGS;KAGS;NA;333.699;'-81.9645;Augusta;US
AGT;SGES;SA;'-25.457186;'-54.839544;Ciudad del Este;PY
AGU;MMAS;NA;21.699.589;'-102.318372;Aguascalientes;MX
AGV;SVAC;SA;9.553.375;'-69.237869;Acarigua;VE
AGW;;OC;'-12.1456;142.149.369;Agnew;AU
AGX;VOAT;AS;108.237;72.176.003;Agatti;IN
AGZ;FAAG;AF;'-29.281799;188.139;Aggeneys;ZA
AHB;OEAB;AS;182.404;42.656.601;Abha;SA
AHC;KAHC;NA;4.026.620.102;'-120.1529999;Herlong;US
AHD;;NA;341.469.993.591;'-97.1227035522;Ardmore;US
AHE;NTHE;OC;'-14.428099632263184;'-146.2570037841797;Ahe Atoll;PF
AHF;;NA;40.341.576;'-99.907839;Arapahoe;US
AHG;;AF;'-10.3731;56.609.798;Vingt Cinq;MU
AHH;KAHH;NA;452.811.012.268;'-92.37539672850001;Amery;US
AHI;WAPA;AS;'-3.347851;128.927.093;Amahai;ID
AHL;SYAH;SA;247.403;'-59.320786;Aishalton;GY
AHM;;NA;42.190.265;'-122.660648;Ashland;US
AHN;KAHN;NA;33.948.842;'-83.325634;Athens;US
AHO;LIEA;EU;40.632.099;829.077;Alghero;IT
AHS;MHAH;NA;154.722;'-84.352203;Ahuas;HN
AHU;GMTA;AF;35.177.101;'-3.83952;Al Hoceima;MA
AHZ;LFHU;EU;45.087.399;6.083.604;Huez, Isère;FR
AIA;KAIA;NA;42.052.543;'-102.803965;Alliance;US
AID;KAID;NA;4.010.860.061.649.990;'-85.6129989624;Anderson;US
AIE;AYAO;OC;'-5.145699978;1.447.307.003;Aiome;PG
AIF;;SA;'-22.638601;'-50.455983;Assis;BR
AIG;FEFY;AF;6.519.999.980.926.510;23.260.000.228.881.800;Yalinga;CF
AII;HDAS;AF;11.146.889;42.72;Ali-Sabieh;DJ
AIK;KAIK;NA;33.649.399;'-81.684998;Aiken;US
AIL;;NA;92.226;'-78.0236;Isla Lorenzo Bello;PA
AIM;;OC;102.168;169.983.002;Ailuk Island;MH
AIN;PAWI;NA;70.638;'-159.994995;Wainwright;US
AIO;KAIO;NA;4.140.729.904;'-95.04689789;Atlantic;US
AIP;VIAX;AS;314.338;75.758.797;Adampur;IN
AIR;SSOU;SA;'-10.187375;'-59.457469;Aripuanã;BR
AIS;NGTR;OC;'-2.616233;176.802.209;Arorae Island;KI
AIT;NCAI;OC;'-18.8309;'-159.764008;Aitutaki;CK
AIU;NCAT;OC;'-19.96780014038086;'-158.11900329589844;Atiu Island;CK
AIV;KAIV;NA;33.106.499;'-88.1978;Aliceville;US
AIY;;SA;'-16.851571;'-42.045633;Araçuaí;BR
AIZ;KAIZ;NA;380.960.006.714;'-92.54949951170002;Kaiser Lake Ozark;US
AJA;LFKJ;EU;41.923.599;880.292;Ajaccio;FR
AJF;OESK;AS;2.978.510.093.688.960;40.099.998.474.121.000;Al-Jawf;SA
AJI;LTCO;AS;39.655.642;43.025.742;Ağrı;TR
AJJ;GQNJ;AF;19.727.998;'-14.377214;Akjoujt;MR
AJK;OIHR;AS;341.381;49.847.301;Araak;IR
AJL;VELP;AS;23.840.599;92.619.698;Aizawl (Lengpui);IN
AJN;FMCV;AF;'-12.131047;44.430.044;Ouani;KM
AJR;ESNX;EU;6.559.030.151.367.180;1.928.190.040.588.370;Arvidsjaur;SE
AJS;;NA;267.272;'-113.558998;Mulegé;MX
AJU;SBAR;SA;'-10.984;'-37.070301;Aracaju;BR
AJY;DRZA;AF;16.965.999.603.271.400;8.000.109.672.546.380;Agadez;NE
AKA;ZLAK;AS;3.275.696;10.887.338;Ankang (Hanbin);CN
AKB;PAAK;NA;52.220.299;'-174.205994;Atka;US
AKC;KAKR;NA;41.037.355;'-81.46784;Akron;US
AKD;VAAK;AS;20.698.931;77.056.883;Akola;IN
AKE;FOGA;AF;'-1.13967001438;139.035.997.391;Akieni;GA
AKF;HLKF;AF;24.178.699.493.408.200;2.331.399.917.602.530;Kufra;LY
AKG;AYGU;OC;'-3.560504;142.217.307;Anguganak;PG
AKH;OEPS;AS;240.627;47.580.502;Al Kharj;SA
AKI;PFAK;NA;60.902.646;'-161.23106;Akiak;US
AKJ;RJEC;AS;43.670.799;142.447.006;Higashikagura;JP
AKK;PAKH;NA;56.938.702;'-154.182999;Akhiok;US
AKL;NZAA;OC;'-37.01199;174.786.331;Auckland;NZ
AKN;PAKN;NA;58.677.845;'-156.651965;King Salmon;US
AKO;KAKO;NA;401.755.981.445;'-103.222000122;Akron;US
AKP;PAKP;NA;68.133.598;'-151.742996;Anaktuvuk Pass;US
AKQ;;AS;'-4.611588;105.231.968;Menggala;ID
AKR;DNAK;AF;7.246.739.864.349.360;53.010.101.318.359.300;Akure;NG
AKS;AGGA;OC;'-8.70257;160.682.007;Auki;SB
AKT;LCRA;AS;34.590.401;329.879;Akrotiri;CY
AKU;ZWAK;AS;41.262.501;80.291.702;Aksu (Onsu);CN
AKV;CYKO;NA;608.186;'-78.148598;Akulivik;CA
AKW;OIAG;AS;307.444;496.772;Aghajari;IR
AKX;UATT;AS;502.458;57.206.699;Aktobe;KZ
AKY;VYSW;AS;20.133.165;92.870.693;Sittwe;MM
ALA;UAAA;AS;43.354.267;77.042.828;Almaty;KZ
ALB;KALB;NA;4.274.829.864.501.950;'-73.80169677734375;Albany;US
ALC;LEAL;EU;382.822;'-0.558156;Alicante;ES
ALD;SPAR;SA;'-11.65018;'-69.229614;Fortaleza;PE
ALE;;NA;30.384.199;'-103.683998;Alpine;US
ALF;ENAT;EU;69.976.097;233.717;Alta;NO
ALG;DAAG;AF;36.693.886;3.214.531;Algiers;DZ
ALH;YABA;OC;'-34.94329833984375;11.780.899.810.791.000;Albany;AU
ALI;KALI;NA;277.409;'-98.026901;Alice;US
ALJ;FAAB;AF;'-28.575001;165.333;Alexander Bay;ZA
ALM;KALM;NA;32.837.818;'-105.993149;Alamogordo;US
ALN;KALN;NA;3.889.030.075.069.990;'-90.0459976196;Alton/St Louis;US
ALO;KALO;NA;42.557.098.388.671.800;'-92.40029907226562;Waterloo;US
ALP;OSAP;AS;36.180.698;372.244;Aleppo;SY
ALQ;SSLT;SA;'-29.811595;'-55.894707;Alegrete;BR
ALR;NZLX;OC;'-45.210495;169.371.113;Alexandra;NZ
ALS;KALS;NA;37.434.898;'-105.866997;Alamosa;US
ALT;;SA;'-1.917;'-54.7231;Alenquer;BR
ALU;HCMA;AF;119.582;50.748;Alula;SO
ALW;KALW;NA;4.609.489.822;'-118.288002;Walla Walla;US
ALX;KALX;NA;32.914.699.554.399.900;'-85.9629974365;Alexander City;US
ALZ;;NA;56.897.294;'-154.249692;Lazy Bay;US
AMA;KAMA;NA;35.219.398;'-101.706001;Amarillo;US
AMB;FMNE;AF;'-13.1884;48.987.999;;MG
AMC;FTTN;AF;110.340.003.967;20.274.000.167.799.900;Am Timan;TD
AMD;VAAH;AS;230.772;72.634.697;Ahmedabad;IN
