CityPair_IATA	Aerolinea Nombre	Clasificacion	Comercial Av Gral	DistanciaKM
EZE - GMP	N/A	Internacional	Av. General	19470
EZE - PEK	Aerolíneas Argentinas	Internacional	Comercial	19311
DMK - EZE	Ethiopian Airlines	Internacional	Comercial	16907
EZE - SDK	N/A	Internacional	Comercial	16799
FDO - LKH		Internacional	Av. General	16502
EZE - HKT	N/A	Internacional	Av. General	16239
CNQ - HAZ		Internacional	Av. General	15656
COC - HAZ		Internacional	Av. General	15362
EZE - HAZ	Aerolíneas Argentinas	Internacional	Comercial	15013
DRW - EZE	Qantas Airways Limited	Internacional	Comercial	14686
EZE - MLE		Internacional	Comercial	14046
EZE - MLE	N/A	Internacional	Av. General	14046
EZE - MLE	N/A	Internacional	Comercial	14046
DXB - EZE	Emirates Airline	Internacional	Comercial	13691
DXB - EZE	N/A	Internacional	Comercial	13691
EZE - SVO	Aerolíneas Argentinas	Internacional	Comercial	13513
EZE - VKO	Aerolíneas Argentinas	Internacional	Comercial	13492
ANC - EZE	N/A	Internacional	Comercial	13435
BAH - EZE	N/A	Internacional	Comercial	13318
EZE - SFT	Aerolíneas Argentinas	Internacional	Comercial	13014
EZE - HEL	N/A	Internacional	Comercial	12996
EZE - RUH	N/A	Internacional	Av. General	12900
EZE - RUH	N/A	Internacional	Comercial	12900
EZE - RMA	Aerolíneas Argentinas	Internacional	Comercial	12625
EZE - RMA	Alitalia	Internacional	Comercial	12625
ARN - EZE	Hi Fly	Internacional	Comercial	12613
BZZ - CRD	Royal Air Force	Internacional	Av. General	12549
BQH - BRC	N/A	Internacional	Av. General	12382
EZE - WAW	Atlas Air	Internacional	Comercial	12363
EZE - WAW	N/A	Internacional	Av. General	12363
EZE - WAW	N/A	Internacional	Comercial	12363
BNE - EZE	Qantas Airways Limited	Internacional	Comercial	12353
EZE - LCA	Aerolíneas Argentinas	Internacional	Comercial	12312
EZE - LCA	N/A	Internacional	Av. General	12312
CPC - LTN	Qatar Executive	Internacional	Av. General	12305
EZE - IST	Hi Fly	Internacional	Comercial	12271
EZE - IST	N/A	Internacional	Av. General	12271
EZE - IST	Turkish Airlines	Internacional	Comercial	12271
EZE - MED	N/A	Internacional	Comercial	12261
EZE - TLV	N/A	Internacional	Comercial	12260
EZE - SDV	Austral Líneas Aéreas	Internacional	Comercial	12257
BRC - MLA	N/A	Internacional	Comercial	12225
EZE - USQ	N/A	Internacional	Av. General	12195
EZE - POZ	Korean Air	Internacional	Comercial	12137
FTE - MAD	N/A	Internacional	Comercial	12105
EZE - JED	N/A	Internacional	Av. General	12050
EZE - JED	N/A	Internacional	Comercial	12050
EZE - SOF	N/A	Internacional	Av. General	11980
EZE - SXF	N/A	Internacional	Comercial	11948
EZE - TXL	N/A	Internacional	Av. General	11947
EZE - TXL	N/A	Internacional	Comercial	11947
BLL - EZE	Cargolux	Internacional	Comercial	11939
EZE - HRG	Qatar Airways	Internacional	Comercial	11899
EZE - LBC	Aerolíneas Argentinas	Internacional	Comercial	11889
CAI - EZE	N/A	Internacional	Av. General	11868
CAI - EZE	N/A	Internacional	Comercial	11868
EZE - VIE	N/A	Internacional	Comercial	11857
EZE - VIE	Qatar Amiri Flight	Internacional	Av. General	11857
EZE - PRG	N/A	Internacional	Comercial	11844
EZE - HAM	Lufthansa	Internacional	Comercial	11839
EZE - HAM	N/A	Internacional	Comercial	11839
EZE - SKG	N/A	Internacional	Av. General	11821
EZE - LEJ	Emirates Airline	Internacional	Comercial	11815
EZE - SYD	LATAM	Internacional	Comercial	11780
EZE - SYD	N/A	Internacional	Av. General	11780
EZE - SYD	Qantas Airways Limited	Internacional	Comercial	11780
AEP - NAN	N/A	Internacional	Comercial	11744
CFU - COR	Qatar Executive	Internacional	Comercial	11723
FCO - MDZ	Alitalia	Internacional	Comercial	11722
EZE - NAN	N/A	Internacional	Av. General	11718
EZE - NAN	N/A	Internacional	Comercial	11718
COR - MUC	Air Europa	Internacional	Comercial	11638
EZE - FMO	Lufthansa	Internacional	Comercial	11615
EZE - MEL	Qantas Airways Limited	Internacional	Comercial	11613
EZE - MUC	Aerolíneas Argentinas	Internacional	Comercial	11584
EZE - MUC	Iberia Airlines	Internacional	Comercial	11584
EZE - MUC	Lufthansa	Internacional	Comercial	11584
EZE - MUC	N/A	Internacional	Av. General	11584
AEP - MUC	Gestair	Internacional	Av. General	11555
CDG - MDZ	Air France	Internacional	Comercial	11518
EZE - FRA	Aerolíneas Argentinas	Internacional	Comercial	11513
EZE - FRA	Air Europa	Internacional	Comercial	11513
EZE - FRA	Air France	Internacional	Comercial	11513
EZE - FRA	Alitalia	Internacional	Comercial	11513
EZE - FRA	Boliviana de Aviacion	Internacional	Comercial	11513
EZE - FRA	British Airways	Internacional	Comercial	11513
EZE - FRA	Delta Air Lines	Internacional	Comercial	11513
EZE - FRA	ITA Airways	Internacional	Comercial	11513
EZE - FRA	KLM	Internacional	Comercial	11513
EZE - FRA	Lufthansa	Internacional	Comercial	11513
EZE - FRA	Lufthansa Cargo	Internacional	Comercial	11513
EZE - FRA	N/A	Internacional	Av. General	11513
EZE - FRA	N/A	Internacional	Comercial	11513
EZE - FRA	United Airlines	Internacional	Comercial	11513
SFO - USH	N/A	Internacional	Comercial	11509
DUS - EZE	N/A	Internacional	Comercial	11506
DUS - EZE	Qatar Amiri Flight	Internacional	Av. General	11506
CGN - EZE	Lufthansa	Internacional	Comercial	11496
AEP - FRA	N/A	Internacional	Av. General	11483
BDS - EZE	N/A	Internacional	Comercial	11476
AMS - EZE	Air Canada	Internacional	Comercial	11475
AMS - EZE	Atlas Air	Internacional	Comercial	11475
AMS - EZE	KLM	Internacional	Comercial	11475
AMS - EZE	LATAM	Internacional	Comercial	11475
AMS - EZE	Lufthansa	Internacional	Comercial	11475
AMS - EZE	Lufthansa Cargo	Internacional	Comercial	11475
AMS - EZE	Martinair	Internacional	Comercial	11475
AMS - EZE	N/A	Internacional	Comercial	11475
AMS - EZE	Qatar Airways	Internacional	Comercial	11475
AMS - EZE	Volga-Dnepr Airlines	Internacional	Comercial	11475
BRC - VLC	N/A	Internacional	Comercial	11474
FRA - ROS	Lufthansa	Internacional	Comercial	11472
SJC - USH	N/A	Internacional	Comercial	11465
AMS - COR	KLM	Internacional	Comercial	11459
EZE - KEF	N/A	Internacional	Av. General	11444
EZE - KEF	N/A	Internacional	Comercial	11444
EZE - HHN	N/A	Internacional	Comercial	11437
EZE - RTM	KLM	Internacional	Comercial	11432
ACH - EZE	Edelweiss Air	Internacional	Comercial	11394
EZE - LGG	Air Atlanta Icelandic	Internacional	Comercial	11388
EZE - LGG	N/A	Internacional	Comercial	11388
EZE - LGG	Qatar Airways	Internacional	Comercial	11388
BRU - EZE	N/A	Internacional	Comercial	11357
EZE - LUX	Cargolux	Internacional	Comercial	11356
EZE - LUX	Qatar Airways	Internacional	Comercial	11356
EZE - ZRH		Internacional	Av. General	11334
EZE - ZRH	Air Canada	Internacional	Comercial	11334
EZE - ZRH	Edelweiss Air	Internacional	Comercial	11334
EZE - ZRH	Lufthansa	Internacional	Comercial	11334
EZE - ZRH	N/A	Internacional	Av. General	11334
EZE - ZRH	N/A	Internacional	Comercial	11334
EZE - ZRH	Swiss International Air Lines	Internacional	Comercial	11334
CRL - EZE	N/A	Internacional	Comercial	11323
EZE - GLA	Aerolíneas Argentinas	Internacional	Comercial	11320
EZE - YVR	Hi Fly	Internacional	Comercial	11319
EZE - YVR	N/A	Internacional	Av. General	11319
EZE - YVR	N/A	Internacional	Comercial	11319
EZE - YVR	Qatar Executive	Internacional	Comercial	11319
UAQ - ZNZ	N/A	Internacional	Av. General	11303
UAQ - ZNZ	N/A	Internacional	Comercial	11303
MDZ - ZNZ	N/A	Internacional	Av. General	11301
EZE - OST	Qatar Airways	Internacional	Comercial	11295
COR - FCO	Aerolíneas Argentinas	Internacional	Comercial	11286
COR - FCO	Alitalia	Internacional	Comercial	11286
COR - FCO	ITA Airways	Internacional	Comercial	11286
BSL - EZE	Lufthansa	Internacional	Comercial	11283
BSL - EZE	Qatar Airways	Internacional	Comercial	11283
EZE - LBA	N/A	Internacional	Comercial	11281
ADD - EZE	Ethiopian Airlines	Internacional	Comercial	11255
ADD - EZE	N/A	Internacional	Comercial	11255
EZE - LIN	N/A	Internacional	Av. General	11234
EZE - LIN	N/A	Internacional	Comercial	11234
EZE - STN	Aeronexus	Internacional	Comercial	11216
EZE - STN	Lufthansa Cargo	Internacional	Comercial	11216
EZE - STN	N/A	Internacional	Av. General	11216
EZE - STN	N/A	Internacional	Comercial	11216
EZE - STN	Qatar Airways	Internacional	Comercial	11216
EZE - STN	Qatar Executive	Internacional	Av. General	11216
EMA - EZE	N/A	Internacional	Comercial	11215
EZE - MXP	Alitalia	Internacional	Comercial	11214
EZE - MXP	ITA Airways	Internacional	Comercial	11214
EZE - MXP	N/A	Internacional	Comercial	11214
EZE - MXP	Qatar Airways	Internacional	Comercial	11214
EZE - SEN	N/A	Internacional	Comercial	11214
EZE - MAN	N/A	Internacional	Comercial	11212
EZE - MAN	Qatar Executive	Internacional	Comercial	11212
AEP - FLR	N/A	Internacional	Av. General	11210
CIA - EZE	Aerolíneas Argentinas	Internacional	Comercial	11191
CIA - EZE	Alitalia	Internacional	Comercial	11191
CIA - EZE	ITA Airways	Internacional	Comercial	11191
CIA - EZE	N/A	Internacional	Comercial	11191
EZE - LTN	British Airways	Internacional	Comercial	11185
EZE - LTN	N/A	Internacional	Av. General	11185
EZE - LTN	N/A	Internacional	Comercial	11185
EZE - LTN	Qatar Airways	Internacional	Comercial	11185
EZE - LTN	Qatar Amiri Flight	Internacional	Av. General	11185
EZE - LTN	Qatar Executive	Internacional	Av. General	11185
EZE - LTN	Qatar Executive	Internacional	Comercial	11185
EZE - LTN	Unijet	Internacional	Comercial	11185
AEP - STN	N/A	Internacional	Av. General	11185
EZE - LTQ	Air France	Internacional	Comercial	11179
EZE - LTQ	Lufthansa	Internacional	Comercial	11179
USH - YUL	N/A	Internacional	Comercial	11179
EZE - LCY	British Airways	Internacional	Comercial	11177
EZE - LCY	N/A	Internacional	Comercial	11177
EZE - LCY	Norwegian Air Shuttle	Internacional	Comercial	11177
FCO - ROS	Aerolíneas Argentinas	Internacional	Comercial	11170
FCO - ROS	Alitalia	Internacional	Comercial	11170
EZE - FCO	Aerolíneas Argentinas	Internacional	Comercial	11168
EZE - FCO	Air Europa	Internacional	Comercial	11168
EZE - FCO	Air France	Internacional	Comercial	11168
EZE - FCO	Alitalia	Internacional	Comercial	11168
EZE - FCO	British Airways	Internacional	Comercial	11168
EZE - FCO	Centurion Air Cargo	Internacional	Comercial	11168
EZE - FCO	Gol Transportes Aéreos	Internacional	Comercial	11168
EZE - FCO	Iberia Airlines	Internacional	Comercial	11168
EZE - FCO	Inter Trans Air	Internacional	Comercial	11168
EZE - FCO	ITA Airways	Internacional	Comercial	11168
EZE - FCO	N/A	Internacional	Av. General	11168
EZE - FCO	N/A	Internacional	Comercial	11168
BHX - EZE	British Airways	Internacional	Comercial	11165
BHX - EZE	N/A	Internacional	Comercial	11165
BQH - EZE	N/A	Internacional	Comercial	11162
BQH - EZE	Qatar Executive	Internacional	Comercial	11162
AEP - CIA	N/A	Internacional	Av. General	11162
AEP - CIA	N/A	Internacional	Comercial	11162
AEP - PSA	N/A	Internacional	Av. General	11150
EZE - LHR	Aerolíneas Argentinas	Internacional	Comercial	11149
EZE - LHR	Air Canada	Internacional	Comercial	11149
EZE - LHR	British Airways	Internacional	Comercial	11149
EZE - LHR	Edelweiss Air	Internacional	Comercial	11149
EZE - LHR	Lufthansa	Internacional	Comercial	11149
EZE - LHR	Lufthansa Cargo	Internacional	Comercial	11149
EZE - LHR	N/A	Internacional	Comercial	11149
EZE - LHR	Norwegian Air Argentina	Internacional	Comercial	11149
EZE - LHR	Norwegian Air Shuttle	Internacional	Comercial	11149
EZE - LHR	United Airlines	Internacional	Comercial	11149
BFI - EZE	Aerolíneas Argentinas	Internacional	Comercial	11148
BFI - EZE	N/A	Internacional	Av. General	11148
BFI - EZE	N/A	Internacional	Comercial	11148
EZE - YRM	N/A	Internacional	Comercial	11143
EZE - SEA	Aerolíneas Argentinas	Internacional	Comercial	11143
EZE - SEA	Atlas Air	Internacional	Comercial	11143
EZE - SEA	NetJets	Internacional	Av. General	11143
EZE - LGW	British Airways	Internacional	Comercial	11137
EZE - LGW	Edelweiss Air	Internacional	Comercial	11137
EZE - LGW	N/A	Internacional	Av. General	11137
EZE - LGW	Norwegian Air Argentina	Internacional	Comercial	11137
EZE - LGW	Norwegian Air Shuttle	Internacional	Comercial	11137
EZE - LDY	British Airways	Internacional	Comercial	11137
EZE - GOA	N/A	Internacional	Av. General	11134
EZE - FAB	N/A	Internacional	Av. General	11118
EZE - FAB	N/A	Internacional	Comercial	11118
EZE - FAB	NetJets	Internacional	Comercial	11118
EZE - FAB	Qatar Airways	Internacional	Comercial	11118
LTN - ROS	N/A	Internacional	Av. General	11118
CDG - COR	Air France	Internacional	Comercial	11117
COR - LHR	British Airways	Internacional	Comercial	11117
CDG - EZE	Aerolíneas Argentinas	Internacional	Comercial	11113
CDG - EZE	Aeroméxico	Internacional	Comercial	11113
CDG - EZE	Air Atlanta Icelandic	Internacional	Comercial	11113
CDG - EZE	Air France	Internacional	Comercial	11113
CDG - EZE	British Airways	Internacional	Comercial	11113
CDG - EZE	ITA Airways	Internacional	Comercial	11113
CDG - EZE	KLM	Internacional	Comercial	11113
CDG - EZE	Lufthansa	Internacional	Comercial	11113
CDG - EZE	N/A	Internacional	Comercial	11113
CDG - EZE	Qatar Amiri Flight	Internacional	Av. General	11113
CDG - EZE	TAM Linhas Aéreas	Internacional	Comercial	11113
CDG - EZE	Wamos Air	Internacional	Comercial	11113
COR - LBG	Qatar Executive	Internacional	Comercial	11108
AEP - LGW	N/A	Internacional	Comercial	11107
EZE - LBG		Internacional	Av. General	11104
EZE - LBG		Internacional	Comercial	11104
EZE - LBG	Air France	Internacional	Comercial	11104
EZE - LBG	Lufthansa	Internacional	Comercial	11104
EZE - LBG	N/A	Internacional	Comercial	11104
EZE - GVA	Dasnair	Internacional	Av. General	11104
EZE - GVA	Dasnair	Internacional	Comercial	11104
EZE - GVA	Edelweiss Air	Internacional	Comercial	11104
EZE - GVA	N/A	Internacional	Av. General	11104
EZE - GVA	N/A	Internacional	Comercial	11104
EZE - GVA	Qatar Airways	Internacional	Av. General	11104
EZE - GVA	Qatar Airways	Internacional	Comercial	11104
COR - MLA	N/A	Internacional	Av. General	11100
ROS - TRN	N/A	Internacional	Av. General	11095
AEP - TRN	N/A	Internacional	Av. General	11090
AEP - CDG		Internacional	Comercial	11083
AEP - CDG	N/A	Internacional	Comercial	11083
LHR - ROS	Norwegian Air Shuttle	Internacional	Comercial	11083
EZE - ORY	N/A	Internacional	Av. General	11081
AEP - GVA	Dasnair	Internacional	Av. General	11074
AEP - GVA	N/A	Internacional	Av. General	11074
AEP - LBG		Internacional	Comercial	11074
AEP - LBG	N/A	Internacional	Av. General	11074
LGW - ROS	Norwegian Air Shuttle	Internacional	Comercial	11072
APA - USH	N/A	Internacional	Av. General	11071
APA - USH	N/A	Internacional	Comercial	11071
LBG - ROS		Internacional	Av. General	11053
LBG - ROS		Internacional	Comercial	11053
LBG - ROS	N/A	Internacional	Av. General	11053
FAB - ROS	N/A	Internacional	Av. General	11052
EVX - EZE	N/A	Internacional	Av. General	11044
DUB - EZE	N/A	Internacional	Comercial	11038
LUX - TUC	Qatar Airways	Internacional	Comercial	11036
AEP - SOU	N/A	Internacional	Av. General	11033
BOH - EZE	N/A	Internacional	Comercial	11027
EZE - LYS	N/A	Internacional	Av. General	11007
AGP - BRC	N/A	Internacional	Comercial	11003
BFI - CPC	N/A	Internacional	Av. General	10985
EZE - NCE	N/A	Internacional	Av. General	10981
EZE - NCE	N/A	Internacional	Comercial	10981
LAX - USH	N/A	Internacional	Comercial	10980
EZE - PMO	N/A	Internacional	Comercial	10976
AEP - NCE		Internacional	Av. General	10952
AEP - NCE	N/A	Internacional	Comercial	10952
EZE - OLB	N/A	Internacional	Av. General	10927
EZE - OLB	N/A	Internacional	Comercial	10927
AEP - MRU	N/A	Internacional	Av. General	10924
EZE - MLA	Aerolíneas Argentinas	Internacional	Comercial	10915
EZE - MLA	N/A	Internacional	Av. General	10915
EZE - MLA	N/A	Internacional	Comercial	10915
AEP - FSC		Internacional	Comercial	10914
CHR - EZE	N/A	Internacional	Comercial	10904
AEP - OLB	N/A	Internacional	Comercial	10899
AEP - TPS	N/A	Internacional	Av. General	10889
AEP - MLA	N/A	Internacional	Comercial	10889
EZE - MRS		Internacional	Comercial	10844
EZE - MRS	N/A	Internacional	Av. General	10844
EZE - MRS	Qatar Executive	Internacional	Av. General	10844
LTN - TUC	Qatar Airways	Internacional	Comercial	10787
IBZ - MDZ		Internacional	Comercial	10775
EZE - MXN	Emirates Airline	Internacional	Comercial	10753
EZE - UAK	Austral Líneas Aéreas	Internacional	Comercial	10751
USH - YUM	N/A	Internacional	Av. General	10698
SCF - USH	N/A	Internacional	Av. General	10693
EZE - TUN	N/A	Internacional	Av. General	10687
DAY - USH	N/A	Internacional	Av. General	10656
EZE - TLS	Aerolíneas Argentinas	Internacional	Comercial	10632
FCO - RES	Aerolíneas Argentinas	Internacional	Comercial	10627
BOD - EZE	N/A	Internacional	Av. General	10610
AEP - BOD	N/A	Internacional	Av. General	10580
BCN - COR	N/A	Internacional	Av. General	10561
MAD - MDZ	Iberia Airlines	Internacional	Comercial	10557
MAD - MDZ	LATAM	Internacional	Comercial	10557
MAD - MDZ	Plus Ultra Líneas Aéreas	Internacional	Comercial	10557
EZE - LDE	Aerolíneas Argentinas	Internacional	Comercial	10518
EZE - YQR	N/A	Internacional	Comercial	10515
EZE - MAH	N/A	Internacional	Comercial	10514
EZE - MBA	N/A	Internacional	Comercial	10502
UAQ - YVR	N/A	Internacional	Comercial	10498
BWI - USH	Omniflys	Internacional	Comercial	10497
BCN - EZE		Internacional	Av. General	10493
BCN - EZE		Internacional	Comercial	10493
BCN - EZE	Aerolíneas Argentinas	Internacional	Comercial	10493
BCN - EZE	Air Europa	Internacional	Comercial	10493
BCN - EZE	Alitalia	Internacional	Comercial	10493
BCN - EZE	Flybondi	Internacional	Comercial	10493
BCN - EZE	Gestair	Internacional	Av. General	10493
BCN - EZE	Gestair	Internacional	Comercial	10493
BCN - EZE	Iberia Airlines	Internacional	Comercial	10493
BCN - EZE	Korean Air	Internacional	Av. General	10493
BCN - EZE	N/A	Internacional	Av. General	10493
BCN - EZE	N/A	Internacional	Comercial	10493
BCN - EZE	Qatar Executive	Internacional	Av. General	10493
BCN - EZE	Qatar Executive	Internacional	Comercial	10493
FDO - MAH	N/A	Internacional	Comercial	10487
COR - PMI	Air Europa	Internacional	Comercial	10486
AEP - BOI		Internacional	Av. General	10485
AEP - MAH	Gestair	Internacional	Av. General	10485
AEP - MAH	N/A	Internacional	Comercial	10485
IAD - USH	N/A	Internacional	Av. General	10477
BCN - ROS		Internacional	Av. General	10471
BCN - ROS		Internacional	Comercial	10471
BCN - ROS	Gestair	Internacional	Av. General	10471
BCN - ROS	Gestair	Internacional	Comercial	10471
BCN - ROS	N/A	Internacional	Av. General	10471
BCN - ROS	N/A	Internacional	Comercial	10471
BCN - ROS	Qatar Executive	Internacional	Av. General	10471
BCN - FDO		Internacional	Av. General	10465
BCN - FDO		Internacional	Comercial	10465
BCN - FDO	N/A	Internacional	Av. General	10465
FAO - NQN	N/A	Internacional	Av. General	10464
AEP - BCN		Internacional	Av. General	10463
AEP - BCN		Internacional	Comercial	10463
AEP - BCN	Gestair	Internacional	Av. General	10463
AEP - BCN	Gestair	Internacional	Comercial	10463
AEP - BCN	N/A	Internacional	Av. General	10463
AEP - BCN	N/A	Internacional	Comercial	10463
TFS - USH	N/A	Internacional	Av. General	10463
MAD - UAQ	Qatar Executive	Internacional	Av. General	10431
EZE - SFO	N/A	Internacional	Av. General	10414
EZE - SFO	N/A	Internacional	Comercial	10414
EZE - SFO	NetJets	Internacional	Comercial	10414
NCE - RES	N/A	Internacional	Av. General	10401
AEP - SFO	N/A	Internacional	Av. General	10401
AEP - SFO	NetJets	Internacional	Av. General	10401
EZE - PMI	Gestair	Internacional	Comercial	10398
AEP - PMI		Internacional	Av. General	10369
AEP - PMI	Gestair	Internacional	Av. General	10369
AEP - PMI	Gestair	Internacional	Comercial	10369
AEP - PMI	N/A	Internacional	Av. General	10369
BIO - EZE	Aerolíneas Argentinas	Internacional	Comercial	10365
BIO - EZE	N/A	Internacional	Av. General	10365
BIO - EZE	N/A	Internacional	Comercial	10365
EZE - SJC	N/A	Internacional	Av. General	10365
EZE - SJC	N/A	Internacional	Comercial	10365
AEP - AKL	N/A	Internacional	Av. General	10353
AEP - AKL	N/A	Internacional	Comercial	10353
AEP - SJC	N/A	Internacional	Av. General	10353
AEP - SJC	N/A	Internacional	Comercial	10353
EZE - ZAZ	Gestair	Internacional	Av. General	10338
AKL - EZE	ACM Air Charter	Internacional	Comercial	10324
AKL - EZE	Aerolíneas Argentinas	Internacional	Comercial	10324
AKL - EZE	Air New Zealand	Internacional	Comercial	10324
AKL - EZE	N/A	Internacional	Av. General	10324
AKL - EZE	N/A	Internacional	Comercial	10324
AKL - EZE	NetJets	Internacional	Comercial	10324
AKL - EZE	Qantas Airways Limited	Internacional	Comercial	10324
AEP - ZNZ	N/A	Internacional	Comercial	10321
EZE - JRO	N/A	Internacional	Av. General	10312
EZE - JRO	N/A	Internacional	Comercial	10312
EZE - MRY	N/A	Internacional	Comercial	10301
ROS - VIT		Internacional	Av. General	10301
CPC - RAK	Qatar Executive	Internacional	Comercial	10290
DAR - EZE	Qatar Executive	Internacional	Comercial	10283
AKL - COR	Amaszonas	Internacional	Comercial	10264
EZE - IBZ		Internacional	Av. General	10261
EZE - IBZ	N/A	Internacional	Av. General	10261
EZE - IBZ	N/A	Internacional	Comercial	10261
CRD - LAX	N/A	Internacional	Av. General	10246
IBZ - ROS	N/A	Internacional	Av. General	10246
BSL - IGR	N/A	Internacional	Comercial	10245
FDO - IBZ		Internacional	Av. General	10234
FDO - IBZ		Internacional	Comercial	10234
AEP - IBZ		Internacional	Av. General	10232
AEP - IBZ		Internacional	Comercial	10232
AEP - IBZ	Gestair	Internacional	Av. General	10232
AEP - IBZ	Gestair	Internacional	Comercial	10232
AEP - IBZ	N/A	Internacional	Av. General	10232
AEP - IBZ	N/A	Internacional	Comercial	10232
ALG - EZE	N/A	Internacional	Av. General	10208
BRC - SFO	N/A	Internacional	Av. General	10198
EZE - VLC	N/A	Internacional	Av. General	10197
EZE - VLC	N/A	Internacional	Comercial	10197
EZE - VLC	Qatar Executive	Internacional	Av. General	10197
MDZ - SVQ	Hi Fly	Internacional	Comercial	10181
LAX - MDQ	N/A	Internacional	Comercial	10174
EZE - YWG	N/A	Internacional	Comercial	10174
FCO - IGR	Aerolíneas Argentinas	Internacional	Comercial	10173
AEP - VLC		Internacional	Comercial	10168
AFW - USH	N/A	Internacional	Comercial	10164
IGR - STN	N/A	Internacional	Av. General	10149
FTE - TEB	N/A	Internacional	Av. General	10146
LAX - REL	N/A	Internacional	Av. General	10144
COR - MAD	Aerolíneas Argentinas	Internacional	Comercial	10140
COR - MAD	Air Europa	Internacional	Comercial	10140
COR - MAD	Gestair	Internacional	Comercial	10140
COR - MAD	Iberia Airlines	Internacional	Comercial	10140
COR - MAD	LATAM	Internacional	Comercial	10140
COR - MAD	TAG Aviation Espana	Internacional	Comercial	10140
IGR - LTN	N/A	Internacional	Av. General	10118
EZE - MAD		Internacional	Comercial	10098
EZE - MAD	Aerolíneas Argentinas	Internacional	Comercial	10098
EZE - MAD	Air Europa	Internacional	Comercial	10098
EZE - MAD	Air France	Internacional	Comercial	10098
EZE - MAD	Alitalia	Internacional	Comercial	10098
EZE - MAD	American Airlines	Internacional	Comercial	10098
EZE - MAD	Avianca Uruguay	Internacional	Comercial	10098
EZE - MAD	British Airways	Internacional	Comercial	10098
EZE - MAD	Estelar Latinoamerica	Internacional	Comercial	10098
EZE - MAD	Gestair	Internacional	Av. General	10098
EZE - MAD	Gestair	Internacional	Comercial	10098
EZE - MAD	Global Jet Luxembourg	Internacional	Comercial	10098
EZE - MAD	Hi Fly	Internacional	Comercial	10098
EZE - MAD	Iberia Airlines	Internacional	Comercial	10098
EZE - MAD	ITA Airways	Internacional	Comercial	10098
EZE - MAD	KLM	Internacional	Comercial	10098
EZE - MAD	Korean Air	Internacional	Comercial	10098
EZE - MAD	LATAM Argentina	Internacional	Comercial	10098
EZE - MAD	LATAM Paraguay	Internacional	Comercial	10098
EZE - MAD	Lufthansa	Internacional	Comercial	10098
EZE - MAD	Lufthansa Cargo	Internacional	Comercial	10098
EZE - MAD	N/A	Internacional	Av. General	10098
EZE - MAD	N/A	Internacional	Comercial	10098
EZE - MAD	NetJets	Internacional	Comercial	10098
EZE - MAD	Norwegian Air Shuttle	Internacional	Comercial	10098
EZE - MAD	Plus Ultra Líneas Aéreas	Internacional	Comercial	10098
EZE - MAD	Qatar Executive	Internacional	Av. General	10098
EZE - MAD	Qatar Executive	Internacional	Comercial	10098
EZE - MAD	TAM Linhas Aéreas	Internacional	Comercial	10098
EZE - MAD	Wamos Air	Internacional	Comercial	10098
BQH - IGR	N/A	Internacional	Av. General	10097
ALC - EZE		Internacional	Comercial	10096
ROS - VLL		Internacional	Comercial	10084
AEP - TOJ		Internacional	Comercial	10076
EZE - LCG	Gestair	Internacional	Comercial	10075
TUC - ZAZ	Ethiopian Airlines	Internacional	Comercial	10074
TUC - ZAZ	Qatar Airways	Internacional	Av. General	10074
TUC - ZAZ	Qatar Airways	Internacional	Comercial	10074
FDO - MAD		Internacional	Av. General	10069
FDO - MAD		Internacional	Comercial	10069
FDO - MAD	N/A	Internacional	Av. General	10069
FDO - MAD	N/A	Internacional	Comercial	10069
ALC - FDO		Internacional	Av. General	10068
ALC - FDO		Internacional	Comercial	10068
AEP - MAD		Internacional	Comercial	10068
AEP - MAD	Gestair	Internacional	Av. General	10068
AEP - MAD	Gestair	Internacional	Comercial	10068
AEP - MAD	N/A	Internacional	Av. General	10068
AEP - MAD	N/A	Internacional	Comercial	10068
AEP - MAD	TAG Aviation Espana	Internacional	Av. General	10068
ROS - SJC	Qatar Executive	Internacional	Av. General	10067
MAD - ROS	Gestair	Internacional	Av. General	10064
MAD - ROS	Gestair	Internacional	Comercial	10064
MAD - ROS	Iberia Airlines	Internacional	Comercial	10064
MAD - ROS	N/A	Internacional	Av. General	10064
CPC - SJC	N/A	Internacional	Av. General	10058
CPC - SJC	N/A	Internacional	Comercial	10058
IGR - LBG		Internacional	Comercial	10049
IGR - LBG	JetSMART Airlines	Internacional	Comercial	10049
EZE - SCQ	Gestair	Internacional	Comercial	10038
EZE - SLC	Delta Air Lines	Internacional	Comercial	10037
EQS - MSP	N/A	Internacional	Av. General	10016
FDO - SLC	N/A	Internacional	Comercial	10001
IGR - SFO	N/A	Internacional	Av. General	9997
IGR - SFO	N/A	Internacional	Comercial	9997
MAD - SFN	N/A	Internacional	Av. General	9963
IGR - NCE	N/A	Internacional	Av. General	9960
IGR - NCE	NetJets	Internacional	Av. General	9960
AEP - CHC	N/A	Internacional	Av. General	9930
BCN - RES	Iberia Airlines	Internacional	Comercial	9906
CRD - SCF		Internacional	Av. General	9906
CHC - EZE	N/A	Internacional	Av. General	9899
CHC - EZE	N/A	Internacional	Comercial	9899
BUR - EZE	N/A	Internacional	Av. General	9889
BUR - EZE	N/A	Internacional	Comercial	9889
EZE - OPO	N/A	Internacional	Av. General	9882
EZE - OPO	N/A	Internacional	Comercial	9882
COR - GRX	N/A	Internacional	Av. General	9881
