AñoMes;CityPair_IATA;Aerolinea Nombre;Clasificacion;Comercial Av Gral;TotalPasajeros;Asientos_Pax;Vuelos;frecuencia semanal
2025-01;AEP - AEP;;Cabotaje;Av. General;0;0;1;0
2025-01;AEP - AFA;;Cabotaje;Av. General;0;;1;0
2025-01;AEP - BHI;;Cabotaje;Av. General;1;;3;1
2025-01;AEP - BRC;;Cabotaje;Av. General;1;0;0,5;0
2025-01;AEP - CNQ;;Cabotaje;Av. General;19,5;0;5,5;1
2025-01;AEP - COR;;Cabotaje;Av. General;0;0;2;0
2025-01;AEP - CPC;;Cabotaje;Av. General;3,5;0;1,5;0
2025-01;AEP - CTC;;Cabotaje;Av. General;2;0;0,5;0
2025-01;AEP - EPA;;Cabotaje;Av. General;0;209;5,5;1
2025-01;AEP - EQS;;Cabotaje;Av. General;0;0;1,5;0
2025-01;AEP - EZE;;Cabotaje;Av. General;0;0;2;0
2025-01;AEP - FDO;;Cabotaje;Av. General;3;104;10;2
2025-01;AEP - JUJ;;Cabotaje;Av. General;0;0;0,5;0
2025-01;AEP - LUQ;;Cabotaje;Av. General;5;0;2;0
2025-01;AEP - MDQ;;Cabotaje;Av. General;94,5;176;6,5;1
2025-01;AEP - MDZ;;Cabotaje;Av. General;2;0;1;0
2025-01;AEP - MOR;;Cabotaje;Av. General;0;0;3;1
2025-01;AEP - NQN;;Cabotaje;Av. General;3;0;2;0
2025-01;AEP - PDI;;Cabotaje;Av. General;0;;0,5;0
2025-01;AEP - PDP;;Internacional;Av. General;12;0;5;1
2025-01;AEP - PRA;;Cabotaje;Av. General;5;0;6;1
2025-01;AEP - PSS;;Cabotaje;Av. General;2,5;0;1;0
2025-01;AEP - RAF;;Cabotaje;Av. General;3;0;0,5;0
2025-01;AEP - RES;;Cabotaje;Av. General;9;0;2,5;1
2025-01;AEP - RGL;;Cabotaje;Av. General;0;0;0,5;0
2025-01;AEP - ROS;;Cabotaje;Av. General;15,5;0;8;2
2025-01;AEP - RSA;;Cabotaje;Av. General;5;;3;1
2025-01;AEP - SDE;;Cabotaje;Av. General;10,5;0;4;1
2025-01;AEP - SFN;;Cabotaje;Av. General;0,5;;0,5;0
2025-01;AEP - SLA;;Cabotaje;Av. General;2,5;0;0,5;0
2025-01;AEP - TDL;;Cabotaje;Av. General;6;0;3;1
2025-01;AEP - TUC;;Cabotaje;Av. General;16,5;0;4,5;1
2025-01;AEP - UAQ;;Cabotaje;Av. General;3;0;0,5;0
2025-01;AEP - USH;;Cabotaje;Av. General;13;22;0,5;0
2025-01;AEP - VLG;;Cabotaje;Av. General;4;0;1;0
2025-01;AFA - AFA;;Cabotaje;Av. General;0;0;389;88
2025-01;AFA - BRC;;Cabotaje;Av. General;0;;0,5;0
2025-01;AFA - FDO;;Cabotaje;Av. General;3;0;2,5;1
2025-01;AFA - GPO;;Cabotaje;Av. General;1,5;0;5,5;1
2025-01;AFA - LCM;;Cabotaje;Av. General;0;0;0,5;0
2025-01;AFA - LGS;;Cabotaje;Av. General;0;0;28,5;6
2025-01;AFA - LUQ;;Cabotaje;Av. General;0;;0,5;0
2025-01;AFA - MDZ;;Cabotaje;Av. General;1;0;16,5;4
2025-01;AFA - NQN;;Cabotaje;Av. General;0;;2,5;1
2025-01;AFA - RCU;;Cabotaje;Av. General;0;0;3;1
2025-01;AFA - RSA;;Cabotaje;Av. General;2;;6;1
2025-01;AFA - UAQ;;Cabotaje;Av. General;0;;0,5;0
2025-01;AFA - VME;;Cabotaje;Av. General;0;;13;3
2025-01;APZ - BRC;;Cabotaje;Av. General;0;;0,5;0
2025-01;APZ - COR;;Cabotaje;Av. General;2;;0,5;0
2025-01;APZ - LGS;;Cabotaje;Av. General;0;;0,5;0
2025-01;APZ - NQN;;Cabotaje;Av. General;2;;4;1
2025-01;APZ - SLA;;Cabotaje;Av. General;2;;0,5;0
2025-01;ASU - CNQ;;Internacional;Av. General;6;0;6;1
2025-01;ASU - COR;;Internacional;Av. General;10;0;4;1
2025-01;ASU - FDO;;Internacional;Av. General;11;0;5;1
2025-01;ASU - MDQ;;Internacional;Av. General;4;;1;0
2025-01;ASU - RES;;Internacional;Av. General;0;0;2;0
2025-01;ASU - ROS;;Internacional;Av. General;5;;1;0
2025-01;ASU - SLA;;Internacional;Av. General;8;0;2;0
2025-01;ASU - TUC;;Internacional;Av. General;0;0;1;0
2025-01;BHI - BHI;;Cabotaje;Av. General;0;;1,5;0
2025-01;BHI - EZE;;Cabotaje;Av. General;2,5;0;1,5;0
2025-01;BHI - FDO;;Cabotaje;Av. General;5;135;4,5;1
2025-01;BHI - LPG;;Cabotaje;Av. General;0;;0,5;0
2025-01;BHI - MDQ;;Cabotaje;Av. General;37,5;44;7;2
2025-01;BHI - MOR;;Cabotaje;Av. General;0;0;2;0
2025-01;BHI - NEC;;Cabotaje;Av. General;0;;1;0
2025-01;BHI - NQN;;Cabotaje;Av. General;0,5;0;2;0
2025-01;BHI - OYO;;Cabotaje;Av. General;0,5;;2,5;1
2025-01;BHI - PMY;;Cabotaje;Av. General;0;0;0,5;0
2025-01;BHI - REL;;Cabotaje;Av. General;0;0;5;1
2025-01;BHI - RGL;;Cabotaje;Av. General;27,5;0;0,5;0
2025-01;BHI - RSA;;Cabotaje;Av. General;41,5;;1;0
2025-01;BHI - TDL;;Cabotaje;Av. General;0;0;0,5;0
2025-01;BHI - VDM;;Cabotaje;Av. General;0;0;4,5;1
2025-01;BRC - BRC;;Cabotaje;Av. General;5;;41;9
2025-01;BRC - CPC;;Cabotaje;Av. General;5,5;95;14,5;3
2025-01;BRC - CRD;;Cabotaje;Av. General;0;;1;0
2025-01;BRC - EHL;;Cabotaje;Av. General;0;0;6,5;1
2025-01;BRC - EMX;;Cabotaje;Av. General;2,5;0;1;0
2025-01;BRC - EQS;;Cabotaje;Av. General;7,5;0;14,5;3
2025-01;BRC - EZE;;Cabotaje;Av. General;14,5;0;2,5;1
2025-01;BRC - FDO;;Cabotaje;Av. General;53;104;32,5;7
2025-01;BRC - FTE;;Cabotaje;Av. General;5,5;0;1,5;0
2025-01;BRC - GPO;;Cabotaje;Av. General;0;;0,5;0
2025-01;BRC - IGR;;Cabotaje;Av. General;1;;0,5;0
2025-01;BRC - LPG;;Cabotaje;Av. General;2;;0,5;0
2025-01;BRC - MDZ;;Cabotaje;Av. General;5;;2;0
2025-01;BRC - NQN;;Cabotaje;Av. General;10;5;14,5;3
2025-01;BRC - PDP;;Internacional;Av. General;22;0;8;2
2025-01;BRC - PMC;;Internacional;Av. General;11;0;5;1
2025-01;BRC - PRA;;Cabotaje;Av. General;0;;0,5;0
2025-01;BRC - REL;;Cabotaje;Av. General;3;0;2;0
2025-01;BRC - RGA;;Cabotaje;Av. General;3;0;0,5;0
2025-01;BRC - RLO;;Cabotaje;Av. General;5;33;0,5;0
2025-01;BRC - RSA;;Cabotaje;Av. General;1;;0,5;0
2025-01;BRC - SCL;;Internacional;Av. General;2;0;1;0
2025-01;BRC - SDE;;Cabotaje;Av. General;9;;1,5;0
2025-01;BRC - USH;;Cabotaje;Av. General;0;0;0,5;0
2025-01;BRO - FDO;;Internacional;Av. General;7;;1;0
2025-01;CJC - MDZ;;Internacional;Av. General;2;;1;0
2025-01;CNQ - CNQ;;Cabotaje;Av. General;0;0;4,5;1
2025-01;CNQ - COR;;Cabotaje;Av. General;3;0;1,5;0
2025-01;CNQ - EPA;;Cabotaje;Av. General;0;71;0,5;0
2025-01;CNQ - FDO;;Cabotaje;Av. General;22,5;0;10;2
2025-01;CNQ - FMA;;Cabotaje;Av. General;5,5;0;5;1
2025-01;CNQ - MDQ;;Cabotaje;Av. General;3;;1;0
2025-01;CNQ - MDX;;Cabotaje;Av. General;1;0;1;0
2025-01;CNQ - OYA;;Cabotaje;Av. General;5;;2;0
2025-01;CNQ - PDP;;Internacional;Av. General;11;0;3;1
2025-01;CNQ - PRA;;Cabotaje;Av. General;0;;2;0
2025-01;CNQ - PSS;;Cabotaje;Av. General;0,5;0;3,5;1
2025-01;CNQ - RES;;Cabotaje;Av. General;0;0;2;0
2025-01;CNQ - STY;;Internacional;Av. General;0;;1;0
2025-01;CNQ - VMA;;Cabotaje;Av. General;3;0;0,5;0
2025-01;COR - COR;;Cabotaje;Av. General;11,5;0;12,5;3
2025-01;COR - CRD;;Cabotaje;Av. General;4;0;1;0
2025-01;COR - CTC;;Cabotaje;Av. General;28,5;19;7;2
2025-01;COR - EQS;;Cabotaje;Av. General;7;;2;0
2025-01;COR - EZE;;Cabotaje;Av. General;19,5;0;4;1
2025-01;COR - FDO;;Cabotaje;Av. General;22;120;18,5;4
2025-01;COR - FTE;;Cabotaje;Av. General;0;0;0,5;0
2025-01;COR - GPO;;Cabotaje;Av. General;2,5;0;1,5;0
2025-01;COR - IRJ;;Cabotaje;Av. General;8,5;0;4;1
2025-01;COR - JUJ;;Cabotaje;Av. General;4;;1;0
2025-01;COR - LCM;;Cabotaje;Av. General;4,5;0;5;1
2025-01;COR - LPG;;Cabotaje;Av. General;0;;0,5;0
2025-01;COR - LUQ;;Cabotaje;Av. General;2;;1;0
2025-01;COR - MDQ;;Cabotaje;Av. General;3;0;0,5;0
2025-01;COR - MDZ;;Cabotaje;Av. General;9,5;22;1,5;0
2025-01;COR - MOR;;Cabotaje;Av. General;2,5;0;1,5;0
2025-01;COR - NCJ;;Cabotaje;Av. General;0;0;0,5;0
2025-01;COR - NVT;;Internacional;Av. General;3;;1;0
2025-01;COR - PDP;;Internacional;Av. General;63;96;26;6
2025-01;COR - POA;;Internacional;Av. General;6;;1;0
2025-01;COR - PSS;;Cabotaje;Av. General;1,5;0;1,5;0
2025-01;COR - RCU;;Cabotaje;Av. General;4,5;0;3;1
2025-01;COR - RLO;;Cabotaje;Av. General;0;;0,5;0
2025-01;COR - ROS;;Cabotaje;Av. General;26;0;7;2
2025-01;COR - SDE;;Cabotaje;Av. General;5;0;4;1
2025-01;COR - SFN;;Cabotaje;Av. General;0;;1;0
2025-01;COR - SLA;;Cabotaje;Av. General;18;33;5,5;1
2025-01;COR - TUC;;Cabotaje;Av. General;3;;1;0
2025-01;COR - VDR;;Cabotaje;Av. General;7;0;2;0
2025-01;COR - VMA;;Cabotaje;Av. General;0;0;5;1
2025-01;CPC - CPC;;Cabotaje;Av. General;1;510;46;10
2025-01;CPC - CSZ;;Cabotaje;Av. General;0;;0,5;0
2025-01;CPC - CUT;;Cabotaje;Av. General;0;;0,5;0
2025-01;CPC - EHL;;Cabotaje;Av. General;0;85;2,5;1
2025-01;CPC - EMX;;Cabotaje;Av. General;0;85;0,5;0
2025-01;CPC - EQS;;Cabotaje;Av. General;7,5;0;3;1
2025-01;CPC - EZE;;Cabotaje;Av. General;0,5;;1;0
2025-01;CPC - FDO;;Cabotaje;Av. General;2,5;95;5,5;1
2025-01;CPC - HOS;;Cabotaje;Av. General;2;;0,5;0
2025-01;CPC - MDZ;;Cabotaje;Av. General;2;;0,5;0
2025-01;CPC - MOR;;Cabotaje;Av. General;0;0;1,5;0
2025-01;CPC - NQN;;Cabotaje;Av. General;11,5;;20,5;5
2025-01;CPC - PDP;;Internacional;Av. General;2;0;1;0
2025-01;CPC - RSA;;Cabotaje;Av. General;3;0;3;1
2025-01;CPC - SLA;;Cabotaje;Av. General;1;;0,5;0
2025-01;CRD - CRD;;Cabotaje;Av. General;0;0;6,5;1
2025-01;CRD - EQS;;Cabotaje;Av. General;0;;1;0
2025-01;CRD - FDO;;Cabotaje;Av. General;11,5;0;6,5;1
2025-01;CRD - LHS;;Cabotaje;Av. General;0;;0,5;0
2025-01;CRD - MDZ;;Cabotaje;Av. General;0;17;0,5;0
2025-01;CRD - NQN;;Cabotaje;Av. General;16;17;1,5;0
2025-01;CRD - REL;;Cabotaje;Av. General;0,5;0;6,5;1
2025-01;CRD - RGL;;Cabotaje;Av. General;4;34;5,5;1
2025-01;CRD - RZA;;Cabotaje;Av. General;2,5;0;0,5;0
2025-01;CRD - USH;;Cabotaje;Av. General;0,5;0;2;0
2025-01;CRD - VDM;;Cabotaje;Av. General;0;;1;0
2025-01;CSZ - EZE;;Cabotaje;Av. General;0;;0,5;0
2025-01;CSZ - FDO;;Cabotaje;Av. General;0;;1;0
2025-01;CSZ - MOR;;Cabotaje;Av. General;0;;1;0
2025-01;CTC - CTC;;Cabotaje;Av. General;0;0;6;1
2025-01;CTC - FDO;;Cabotaje;Av. General;9,5;199;11;2
2025-01;CTC - IRJ;;Cabotaje;Av. General;4;0;2;0
2025-01;CTC - PDP;;Internacional;Av. General;1;0;1;0
2025-01;CTC - RAF;;Cabotaje;Av. General;0;0;0,5;0
2025-01;CTC - SDE;;Cabotaje;Av. General;0;0;1,5;0
2025-01;CTC - SLA;;Cabotaje;Av. General;66;105;16;4
2025-01;CTC - UAQ;;Cabotaje;Av. General;0;0;0,5;0
2025-01;CYR - FDO;;Internacional;Av. General;2;;7;2
2025-01;EHL - EQS;;Cabotaje;Av. General;0;0;2;0
2025-01;EHL - NQN;;Cabotaje;Av. General;0;0;1;0
2025-01;EHL - REL;;Cabotaje;Av. General;1;0;1;0
2025-01;ELO - PSS;;Cabotaje;Av. General;1;0;0,5;0
2025-01;EMX - REL;;Cabotaje;Av. General;2,5;0;1;0
2025-01;ENO - ROS;;Cabotaje;Av. General;0;0;2;0
2025-01;EPA - EPA;;Cabotaje;Av. General;4;0;47,5;11
2025-01;EPA - EZE;;Cabotaje;Av. General;0;0;2,5;1
2025-01;EPA - FDO;;Cabotaje;Av. General;0;0;0,5;0
2025-01;EPA - IGR;;Cabotaje;Av. General;0,5;0;0,5;0
2025-01;EPA - IRJ;;Cabotaje;Av. General;4,5;71;0,5;0
2025-01;EPA - JUJ;;Cabotaje;Av. General;0;71;0,5;0
2025-01;EPA - MDQ;;Cabotaje;Av. General;0;0;2;0
2025-01;EPA - MDZ;;Cabotaje;Av. General;21,5;39;2,5;1
2025-01;EPA - MOR;;Cabotaje;Av. General;2;0;58,5;13
2025-01;EPA - PRA;;Cabotaje;Av. General;3;34;7,5;2
2025-01;EPA - PSS;;Cabotaje;Av. General;0;0;0,5;0
2025-01;EPA - RCQ;;Cabotaje;Av. General;0;33;1,5;0
2025-01;EPA - RCU;;Cabotaje;Av. General;16,5;77;2;0
2025-01;EPA - RES;;Cabotaje;Av. General;0;33;0,5;0
2025-01;EPA - ROS;;Cabotaje;Av. General;0;;0,5;0
2025-01;EPA - SLA;;Cabotaje;Av. General;1,5;141;4;1
2025-01;EQS - EQS;;Cabotaje;Av. General;4;0;10;2
2025-01;EQS - EZE;;Cabotaje;Av. General;12,5;0;3;1
2025-01;EQS - FDO;;Cabotaje;Av. General;21,5;0;8;2
2025-01;EQS - MOR;;Cabotaje;Av. General;0;0;1;0
2025-01;EQS - NQN;;Cabotaje;Av. General;2;;5;1
2025-01;EQS - REL;;Cabotaje;Av. General;1,5;;2;0
2025-01;EQS - VLG;;Cabotaje;Av. General;1,5;0;0,5;0
2025-01;ESG - FDO;;Internacional;Av. General;2;0;2;0
2025-01;EZE - EZE;;Cabotaje;Av. General;0;;7;2
2025-01;EZE - FDO;;Cabotaje;Av. General;4,5;19;9,5;2
2025-01;EZE - FTE;;Cabotaje;Av. General;3;0;0,5;0
2025-01;EZE - LPG;;Cabotaje;Av. General;1;;3,5;1
2025-01;EZE - MDQ;;Cabotaje;Av. General;0;;0,5;0
2025-01;EZE - MDZ;;Cabotaje;Av. General;1,5;95;0,5;0
2025-01;EZE - MOR;;Cabotaje;Av. General;0;;0,5;0
2025-01;EZE - NQN;;Cabotaje;Av. General;0,5;0;0,5;0
2025-01;EZE - PDP;;Internacional;Av. General;4;0;3;1
2025-01;EZE - ROS;;Cabotaje;Av. General;2;0;1,5;0
2025-01;EZE - SLA;;Cabotaje;Av. General;2,5;;2;0
2025-01;EZE - TDL;;Cabotaje;Av. General;1;0;0,5;0
2025-01;EZE - TUC;;Cabotaje;Av. General;8,5;0;1,5;0
2025-01;EZE - VLG;;Cabotaje;Av. General;0;0;0,5;0
2025-01;FDO - FDO;;Cabotaje;Av. General;14;198;218,5;49
2025-01;FDO - FLN;;Internacional;Av. General;25;;8;2
2025-01;FDO - FMA;;Cabotaje;Av. General;7;0;3;1
2025-01;FDO - FTE;;Cabotaje;Av. General;1;0;1;0
2025-01;FDO - GHU;;Cabotaje;Av. General;0;0;0,5;0
2025-01;FDO - GIG;;Internacional;Av. General;0;0;1;0
2025-01;FDO - GPO;;Cabotaje;Av. General;3;0;3;1
2025-01;FDO - GRU;;Internacional;Av. General;8;0;5;1
2025-01;FDO - HPN;;Internacional;Av. General;4;;1;0
2025-01;FDO - IGR;;Cabotaje;Av. General;25;19;5;1
2025-01;FDO - IGU;;Internacional;Av. General;7;0;2;0
2025-01;FDO - IRJ;;Cabotaje;Av. General;7,5;0;2,5;1
2025-01;FDO - JNI;;Cabotaje;Av. General;0;135;1;0
2025-01;FDO - JUJ;;Cabotaje;Av. General;10;;3,5;1
2025-01;FDO - LAX;;Internacional;Av. General;2;;1;0
2025-01;FDO - LGS;;Cabotaje;Av. General;0;;0,5;0
2025-01;FDO - LPG;;Cabotaje;Av. General;1,5;0;6;1
2025-01;FDO - LUQ;;Cabotaje;Av. General;4,5;0;1;0
2025-01;FDO - MDQ;;Cabotaje;Av. General;51,5;0;30,5;7
2025-01;FDO - MDX;;Cabotaje;Av. General;2;;1;0
2025-01;FDO - MDZ;;Cabotaje;Av. General;24;0;14,5;3
2025-01;FDO - MJR;;Cabotaje;Av. General;2;;3,5;1
2025-01;FDO - MOR;;Cabotaje;Av. General;6;0;31;7
2025-01;FDO - MVD;;Internacional;Av. General;17;0;14;3
2025-01;FDO - NCJ;;Cabotaje;Av. General;4,5;;1,5;0
2025-01;FDO - NQN;;Cabotaje;Av. General;9;0;13;3
2025-01;FDO - OVR;;Cabotaje;Av. General;0,5;;1;0
2025-01;FDO - OYA;;Cabotaje;Av. General;6,5;;1,5;0
2025-01;FDO - OYO;;Cabotaje;Av. General;1;0;2;0
2025-01;FDO - PDP;;Internacional;Av. General;367;2031;296;67
2025-01;FDO - PEH;;Cabotaje;Av. General;0;0;0,5;0
2025-01;FDO - PNT;;Internacional;Av. General;6;0;4;1
2025-01;FDO - POA;;Internacional;Av. General;0;;1;0
2025-01;FDO - PRA;;Cabotaje;Av. General;6;0;6,5;1
2025-01;FDO - PSS;;Cabotaje;Av. General;7;0;7,5;2
2025-01;FDO - RAF;;Cabotaje;Av. General;2;0;2;0
2025-01;FDO - RCQ;;Cabotaje;Av. General;1,5;0;2;0
2025-01;FDO - RCU;;Cabotaje;Av. General;4,5;0;2;0
2025-01;FDO - REC;;Internacional;Av. General;0;;1;0
2025-01;FDO - REL;;Cabotaje;Av. General;5;;2;0
2025-01;FDO - RES;;Cabotaje;Av. General;5,5;0;3,5;1
2025-01;FDO - RGA;;Cabotaje;Av. General;0;;1;0
2025-01;FDO - RGL;;Cabotaje;Av. General;9;0;3,5;1
2025-01;FDO - ROS;;Cabotaje;Av. General;18,5;269;35;8
2025-01;FDO - RSA;;Cabotaje;Av. General;3,5;0;3,5;1
2025-01;FDO - RZA;;Cabotaje;Av. General;0;0;0,5;0
2025-01;FDO - SCL;;Internacional;Av. General;0;;3;1
2025-01;FDO - SDE;;Cabotaje;Av. General;41,5;0;17;4
2025-01;FDO - SFN;;Cabotaje;Av. General;3;0;7;2
2025-01;FDO - SLA;;Cabotaje;Av. General;6,5;0;5,5;1
2025-01;FDO - SSA;;Internacional;Av. General;1;0;1;0
2025-01;FDO - SST;;Cabotaje;Av. General;6;;1;0
2025-01;FDO - TAP;;Internacional;Av. General;0;;1;0
2025-01;FDO - TDL;;Cabotaje;Av. General;0;0;2,5;1
2025-01;FDO - TRU;;Internacional;Av. General;3;;1;0
2025-01;FDO - TUC;;Cabotaje;Av. General;13;189;6;1
2025-01;FDO - UAQ;;Cabotaje;Av. General;0;0;1;0
2025-01;FDO - USH;;Cabotaje;Av. General;0;95;1,5;0
2025-01;FDO - VDM;;Cabotaje;Av. General;1,5;0;2,5;1
2025-01;FDO - VLG;;Cabotaje;Av. General;7,5;0;10,5;2
2025-01;FDO - VME;;Cabotaje;Av. General;0;186;1;0
2025-01;FEN - PSS;;Internacional;Av. General;0;;1;0
2025-01;FLN - SLA;;Internacional;Av. General;10;;3;1
2025-01;FMA - FMA;;Cabotaje;Av. General;0;0;2;0
2025-01;FMA - IGR;;Cabotaje;Av. General;0;0;0,5;0
2025-01;FMA - PRA;;Cabotaje;Av. General;0;0;1;0
2025-01;FMA - PSS;;Cabotaje;Av. General;13;0;5;1
2025-01;FMA - RES;;Cabotaje;Av. General;2;0;1,5;0
2025-01;FTE - FTE;;Cabotaje;Av. General;13;;23,5;5
2025-01;FTE - RGL;;Cabotaje;Av. General;0;0;3;1
2025-01;GHU - MOR;;Cabotaje;Av. General;0;;2;0
2025-01;GIG - MDQ;;Internacional;Av. General;2;;1;0
2025-01;GNR - GPO;;Cabotaje;Av. General;0;;1;0
2025-01;GPO - GPO;;Cabotaje;Av. General;0;;37,5;8
2025-01;GPO - MOR;;Cabotaje;Av. General;0;;1;0
2025-01;GPO - NQN;;Cabotaje;Av. General;2;0;5;1
2025-01;GPO - RCU;;Cabotaje;Av. General;0;0;2,5;1
2025-01;GRU - IGR;;Internacional;Av. General;5;0;3;1
2025-01;GYE - MDZ;;Internacional;Av. General;6;;2;0
2025-01;GYE - TUC;;Internacional;Av. General;2;0;1;0
2025-01;HOS - NQN;;Cabotaje;Av. General;2;;0,5;0
2025-01;IGR - IGR;;Cabotaje;Av. General;2;0;7;2
2025-01;IGR - PRA;;Cabotaje;Av. General;1;0;1,5;0
2025-01;IGR - PSS;;Cabotaje;Av. General;4,5;0;14,5;3
2025-01;IGR - SCL;;Internacional;Av. General;3;;1;0
2025-01;IGR - USH;;Cabotaje;Av. General;2,5;0;0,5;0
2025-01;IRJ - IRJ;;Cabotaje;Av. General;2;0;2,5;1
2025-01;IRJ - MDQ;;Cabotaje;Av. General;4;0;1;0
2025-01;IRJ - MDZ;;Cabotaje;Av. General;2;0;1;0
2025-01;IRJ - SLA;;Cabotaje;Av. General;6;0;2,5;1
2025-01;IRJ - TUC;;Cabotaje;Av. General;2,5;0;1,5;0
2025-01;IRJ - UAQ;;Cabotaje;Av. General;4,5;71;1,5;0
2025-01;JNI - MDQ;;Cabotaje;Av. General;1,5;;0,5;0
2025-01;JNI - MOR;;Cabotaje;Av. General;0;0;2;0
2025-01;JUJ - JUJ;;Cabotaje;Av. General;17;;13;3
2025-01;JUJ - MOR;;Cabotaje;Av. General;0,5;;1;0
2025-01;JUJ - SLA;;Cabotaje;Av. General;1;141;5,5;1
2025-01;JUJ - TUC;;Cabotaje;Av. General;0;0;1;0
2025-01;LCM - SFN;;Cabotaje;Av. General;1;;0,5;0
2025-01;LCM - TUC;;Cabotaje;Av. General;1,5;95;0,5;0
2025-01;LGS - LGS;;Cabotaje;Av. General;0;;4,5;1
2025-01;LGS - LUQ;;Cabotaje;Av. General;3;;1;0
2025-01;LGS - NQN;;Cabotaje;Av. General;0;;0,5;0
2025-01;LIM - ROS;;Internacional;Av. General;6;0;1;0
2025-01;LIM - TUC;;Internacional;Av. General;3;;1;0
2025-01;LPG - MDQ;;Cabotaje;Av. General;9,5;186;12,5;3
2025-01;LPG - MOR;;Cabotaje;Av. General;0;0;28;6
2025-01;LPG - PSS;;Cabotaje;Av. General;2;;1;0
2025-01;LPG - TDL;;Cabotaje;Av. General;0;0;1;0
2025-01;LPG - TUC;;Cabotaje;Av. General;1;0;0,5;0
2025-01;LPG - UAQ;;Cabotaje;Av. General;0,5;0;0,5;0
2025-01;LUQ - LUQ;;Cabotaje;Av. General;7;0;44,5;10
2025-01;LUQ - MDZ;;Cabotaje;Av. General;0;;0,5;0
2025-01;LUQ - MOR;;Cabotaje;Av. General;0;;2;0
2025-01;LUQ - OVR;;Cabotaje;Av. General;4,5;0;0,5;0
2025-01;LUQ - RLO;;Cabotaje;Av. General;0;0;1;0
2025-01;LUQ - VME;;Cabotaje;Av. General;0;;1;0
2025-01;MDQ - MDQ;;Cabotaje;Av. General;0;0;34;8
2025-01;MDQ - MDZ;;Cabotaje;Av. General;5,5;;1,5;0
2025-01;MDQ - MJR;;Cabotaje;Av. General;0;;0,5;0
2025-01;MDQ - MOR;;Cabotaje;Av. General;1,5;0;46,5;11
2025-01;MDQ - NEC;;Cabotaje;Av. General;0;;1;0
2025-01;MDQ - NQN;;Cabotaje;Av. General;2;;1;0
2025-01;MDQ - PDP;;Internacional;Av. General;27;170;7;2
2025-01;MDQ - RHD;;Cabotaje;Av. General;2,5;0;0,5;0
2025-01;MDQ - ROS;;Cabotaje;Av. General;4;;1,5;0
2025-01;MDQ - SDE;;Cabotaje;Av. General;3;0;1;0
2025-01;MDQ - SFN;;Cabotaje;Av. General;2,5;;1;0
2025-01;MDQ - SST;;Cabotaje;Av. General;0;0;1;0
2025-01;MDQ - TDL;;Cabotaje;Av. General;0;0;3,5;1
2025-01;MDQ - VDM;;Cabotaje;Av. General;0;;0,5;0
2025-01;MDQ - VLG;;Cabotaje;Av. General;2;;0,5;0
2025-01;MDX - MOR;;Cabotaje;Av. General;0;;0,5;0
2025-01;MDZ - MDZ;;Cabotaje;Av. General;0;0;26,5;6
2025-01;MDZ - NQN;;Cabotaje;Av. General;23,5;17;3;1
2025-01;MDZ - PSS;;Cabotaje;Av. General;1,5;0;1;0
2025-01;MDZ - RCU;;Cabotaje;Av. General;4;60;3;1
2025-01;MDZ - SCL;;Internacional;Av. General;7;;1;0
2025-01;MDZ - SDE;;Cabotaje;Av. General;0;;1;0
2025-01;MDZ - SLA;;Cabotaje;Av. General;2,5;141;3;1
2025-01;MDZ - TDL;;Cabotaje;Av. General;0;;1;0
2025-01;MDZ - TUC;;Cabotaje;Av. General;4,5;378;2;0
2025-01;MDZ - UAQ;;Cabotaje;Av. General;1,5;0;3;1
2025-01;MJR - MOR;;Cabotaje;Av. General;0;;1;0
2025-01;MOR - MOR;;Cabotaje;Av. General;13;8551;1692,5;382
2025-01;MOR - NEC;;Cabotaje;Av. General;0;;0,5;0
2025-01;MOR - NQN;;Cabotaje;Av. General;1;;1,5;0
2025-01;MOR - OVR;;Cabotaje;Av. General;0;0;4;1
2025-01;MOR - PRA;;Cabotaje;Av. General;1;0;9;2
2025-01;MOR - PSS;;Cabotaje;Av. General;2;0;1;0
2025-01;MOR - RCU;;Cabotaje;Av. General;2;0;0,5;0
2025-01;MOR - ROS;;Cabotaje;Av. General;0,5;40;59;13
2025-01;MOR - RSA;;Cabotaje;Av. General;0;;4;1
2025-01;MOR - SFN;;Cabotaje;Av. General;0;;5,5;1
2025-01;MOR - SST;;Cabotaje;Av. General;0;0;4,5;1
2025-01;MOR - TDL;;Cabotaje;Av. General;0;;0,5;0
2025-01;MOR - VDM;;Cabotaje;Av. General;0;;2;0
2025-01;MOR - VLG;;Cabotaje;Av. General;0;0;8,5;2
2025-01;MOR - VME;;Cabotaje;Av. General;0;0;1,5;0
2025-01;MVD - ROS;;Internacional;Av. General;10;;3;1
2025-01;NCJ - PRA;;Cabotaje;Av. General;1,5;;0,5;0
2025-01;NCJ - SFN;;Cabotaje;Av. General;0;;1;0
2025-01;NEC - NQN;;Cabotaje;Av. General;3;;1;0
2025-01;NQN - NQN;;Cabotaje;Av. General;1;0;98;22
2025-01;NQN - OES;;Cabotaje;Av. General;0;;2;0
2025-01;NQN - PDP;;Internacional;Av. General;3;;1;0
2025-01;NQN - PEH;;Cabotaje;Av. General;0;;1;0
2025-01;NQN - PMY;;Cabotaje;Av. General;1;0;2,5;1
2025-01;NQN - PSS;;Cabotaje;Av. General;0;0;0,5;0
2025-01;NQN - RSA;;Cabotaje;Av. General;6;0;19;4
