IATA;AñoMes;segmento;valor_pax;movimientos
PMQ;2023-11;cabotaje;142;9
PMQ;2023-12;cabotaje;129;8
PMQ;2024-01;cabotaje;154;11,5
PMQ;2024-02;cabotaje;124;15
PMQ;2024-03;cabotaje;152,5;14,5
PMQ;2024-04;cabotaje;134;15
PMQ;2024-05;cabotaje;56,5;7,5
PMQ;2024-06;cabotaje;118;10,5
PMQ;2024-07;cabotaje;362,5;27,5
PMQ;2024-08;cabotaje;321,5;25
PMQ;2024-09;cabotaje;324;24
PMQ;2024-10;cabotaje;427;26
PMQ;2024-11;cabotaje;315;24
PMQ;2024-12;cabotaje;333;20,5
PMQ;2025-01;cabotaje;291;18
PMQ;2025-02;cabotaje;317;24
PMQ;2025-03;cabotaje;355;26,5
PMQ;2025-04;cabotaje;313,5;24
PMQ;2025-05;cabotaje;322,5;21,5
PMQ;2025-06;cabotaje;377;23
PMQ;2025-07;cabotaje;379;23,5
PMQ;2025-08;cabotaje;312,5;24
PMQ;2025-09;cabotaje;543,5;41,5
PMQ;2025-10;cabotaje;515,5;38,5
PMQ;2025-11;cabotaje;474,5;36
PMQ;2025-12;cabotaje;379,5;29
AOL;2015-03;cabotaje;0;0,5
AOL;2015-05;cabotaje;1,5;2,5
AOL;2015-08;cabotaje;0;0,5
AOL;2015-10;cabotaje;29,5;0,5
AOL;2015-11;cabotaje;0,5;1
AOL;2016-06;cabotaje;1,5;1
AOL;2016-07;cabotaje;0;0,5
AOL;2016-09;cabotaje;3,5;2,5
AOL;2016-10;cabotaje;1;2,5
AOL;2016-12;cabotaje;0;0,5
AOL;2017-04;cabotaje;0;0,5
AOL;2017-07;cabotaje;1;0,5
AOL;2017-10;cabotaje;1,5;1
AOL;2017-12;cabotaje;4;1
AOL;2018-01;cabotaje;1,5;2
AOL;2018-03;cabotaje;0;1,5
AOL;2018-04;cabotaje;0;1
AOL;2018-06;cabotaje;2;0,5
AOL;2018-08;cabotaje;5,5;1
AOL;2018-09;cabotaje;0;0,5
AOL;2019-03;cabotaje;0;1,5
AOL;2019-04;cabotaje;0;0,5
AOL;2019-05;cabotaje;0,5;0,5
AOL;2019-06;cabotaje;0;2
AOL;2019-09;cabotaje;7;1,5
AOL;2019-10;cabotaje;0;1
AOL;2019-12;cabotaje;1;1
AOL;2020-01;cabotaje;0;0,5
AOL;2020-11;cabotaje;4,5;1,5
AOL;2020-12;cabotaje;4;1,5
AOL;2021-02;cabotaje;8;2
AOL;2021-03;cabotaje;2;0,5
AOL;2021-04;cabotaje;1,5;1
AOL;2021-08;cabotaje;0;1
AOL;2021-10;cabotaje;4,5;1
AOL;2021-11;cabotaje;6;1,5
AOL;2022-04;cabotaje;0;0,5
AOL;2022-06;cabotaje;0;1
AOL;2022-08;cabotaje;2;1,5
AOL;2022-11;cabotaje;0;0,5
AOL;2023-04;cabotaje;2,5;0,5
AOL;2023-06;cabotaje;2;0,5
AOL;2023-08;cabotaje;0;0,5
AOL;2023-12;cabotaje;0;0,5
AOL;2024-11;cabotaje;0;1
AOL;2025-02;cabotaje;2;0,5
AOL;2025-03;cabotaje;0;0,5
AOL;2025-05;cabotaje;0;0,5
AOL;2025-08;cabotaje;2,5;0,5
AOL;2025-11;cabotaje;40;0,5
