IATA,Aeropuerto,PaxTotal_2025,PaxTotal_2026,VarPaxTotal_pct,PaxComercial_2025,PaxComercial_2026,VarPaxComercial_pct,PaxAvGeneral_2025,PaxAvGeneral_2026,VarPaxAvGeneral_pct,PaxCabotaje_2025,PaxCabotaje_2026,VarPaxCabotaje_pct,PaxInternacional_2025,PaxInternacional_2026,VarPaxInternacional_pct,Registros_2025,Registros_2026
RSA,Santa Rosa,21888.5,19654.5,-10.2,21326.5,19241.5,-9.8,562.0,413.0,-26.5,21875.5,19654.5,-10.2,13.0,0.0,-100.0,248,269
RYO,El Turbio/28 de noviembre,7.5,88.0,1073.3,6.5,80.0,1130.8,1.0,8.0,700.0,7.5,88.0,1073.3,0.0,0.0,,12,23
SDE,Santiago del Estero,109523.5,87715.0,-19.9,108522.0,86740.0,-20.1,1001.5,975.0,-2.6,109159.5,87705.0,-19.7,364.0,10.0,-97.3,362,340
SFN,Santa Fe,38279.0,38596.0,0.8,37800.0,38239.0,1.2,479.0,357.0,-25.5,37371.0,38527.0,3.1,908.0,69.0,-92.4,275,327
SLA,Salta,692501.0,707568.0,2.2,690889.0,706014.0,2.2,1612.0,1554.0,-3.6,650193.0,650640.0,0.1,42308.0,56928.0,34.6,654,726
SST,Santa Teresita,7.5,7.0,-6.7,0.0,2.0,,7.5,5.0,-33.3,7.5,7.0,-6.7,0.0,0.0,,23,24
TDL,Tandil,524.5,255.0,-51.4,115.0,1.5,-98.7,409.5,253.5,-38.1,524.5,255.0,-51.4,0.0,0.0,,131,43
TTG,Tartagal,173.0,168.0,-2.9,50.0,103.0,106.0,123.0,65.0,-47.2,173.0,168.0,-2.9,0.0,0.0,,36,43
TUC,Tucumán,412600.5,463541.5,12.3,411280.0,462239.0,12.4,1320.5,1302.5,-1.4,404882.5,421846.5,4.2,7718.0,41695.0,440.2,495,541
UAQ,San Juan,96346.0,101550.5,5.4,96186.0,101149.5,5.2,160.0,401.0,150.6,96308.0,101316.5,5.2,38.0,234.0,515.8,211,296
USH,Ushuaia,529884.0,565105.5,6.6,529132.5,564562.5,6.7,751.5,543.0,-27.7,528684.0,562907.5,6.5,1200.0,2198.0,83.2,404,404
VDM,Viedma,17385.5,17578.0,1.1,17281.0,17422.5,0.8,104.5,155.5,48.8,17385.5,17578.0,1.1,0.0,0.0,,184,240
VLG,Villa Gesell,43.5,477.0,996.6,10.5,381.5,3533.3,33.0,95.5,189.4,43.5,477.0,996.6,0.0,0.0,,31,92
VME,Villa Mercedes,158.0,289.0,82.9,8.5,158.0,1758.8,149.5,131.0,-12.4,158.0,289.0,82.9,0.0,0.0,,150,145
