A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2024;AEP - COR;;Av. Gral Cabotaje;1014,5;1584;111
2025;AEP - COR;;Av. Gral Cabotaje;869;1084;75,5
2022;AEP - COR;;No Regular Cabotaje;106;189;35,5
2023;AEP - COR;;No Regular Cabotaje;176,5;777;52,5
2024;AEP - COR;;No Regular Cabotaje;172,5;862;36
2025;AEP - COR;;No Regular Cabotaje;243,5;498;52
2022;AEP - COR;;Regular Cabotaje;174;189;1,5
2024;AEP - COR;;Regular Cabotaje;0,5;22;0,5
2025;AEP - COR;;Regular Cabotaje;80,5;85;0,5
2022;AEP - CPC;;Av. Gral Cabotaje;49,5;0;9,5
2023;AEP - CPC;;Av. Gral Cabotaje;169;281;3,5
2024;AEP - CPC;;Av. Gral Cabotaje;12;85;6,5
2025;AEP - CPC;;Av. Gral Cabotaje;5,5;0;3
2022;AEP - CPC;;No Regular Cabotaje;13,5;0;7
2023;AEP - CPC;;No Regular Cabotaje;11;0;3
2024;AEP - CPC;;No Regular Cabotaje;9,5;0;2,5
2025;AEP - CPC;;No Regular Cabotaje;17,5;189;6,5
2024;AEP - CPC;;Regular Cabotaje;69;85;0,5
2025;AEP - CPC;;Regular Cabotaje;85;85;0,5
2022;AEP - CPT;;Av. Gral Internacional;12;0;2
2025;AEP - CPT;;Av. Gral Internacional;4;0;1
2022;AEP - CPT;;No Regular Internacional;7;0;1
2023;AEP - CPT;;No Regular Internacional;6;0;1
2022;AEP - CRD;;Av. Gral Cabotaje;520,5;914;39
2023;AEP - CRD;;Av. Gral Cabotaje;109,5;254;33
2024;AEP - CRD;;Av. Gral Cabotaje;197;341;25
2025;AEP - CRD;;Av. Gral Cabotaje;50,5;235;19,5
2022;AEP - CRD;;No Regular Cabotaje;117;71;24
2023;AEP - CRD;;No Regular Cabotaje;46;102;18,5
2024;AEP - CRD;;No Regular Cabotaje;20,5;0;7,5
2025;AEP - CRD;;No Regular Cabotaje;22,5;0;13,5
2023;AEP - CRD;;Regular Cabotaje;44,5;85;0,5
2024;AEP - CRD;;Regular Cabotaje;7,5;0;0,5
2022;AEP - CSZ;;Av. Gral Cabotaje;2;;0,5
2024;AEP - CSZ;;Av. Gral Cabotaje;1,5;0;0,5
2022;AEP - CSZ;;No Regular Cabotaje;2;;0,5
2023;AEP - CSZ;;No Regular Cabotaje;0;;0,5
2024;AEP - CSZ;;No Regular Cabotaje;4;0;1,5
2025;AEP - CSZ;;No Regular Cabotaje;6;0;1
2022;AEP - CTC;;Av. Gral Cabotaje;673;75;100,5
2023;AEP - CTC;;Av. Gral Cabotaje;212;65;41,5
2024;AEP - CTC;;Av. Gral Cabotaje;87,5;114;22
2025;AEP - CTC;;Av. Gral Cabotaje;53;0;13,5
2022;AEP - CTC;;No Regular Cabotaje;190,5;0;52,5
2023;AEP - CTC;;No Regular Cabotaje;92;5;25,5
2024;AEP - CTC;;No Regular Cabotaje;204,5;192;15
2025;AEP - CTC;;No Regular Cabotaje;35,5;0;12,5
2023;AEP - CTC;;Regular Cabotaje;93;96;1
2024;AEP - CTC;;Regular Cabotaje;70,5;96;1
2022;AEP - CWB;;Av. Gral Internacional;10;;2
2023;AEP - CWB;;Av. Gral Internacional;8;0;2
2022;AEP - CWB;;No Regular Internacional;4;0;1
2024;AEP - CWB;;No Regular Internacional;2;0;2
2022;AEP - CYR;;Av. Gral Internacional;0;;1
2023;AEP - CYR;;Av. Gral Internacional;4;0;1
2022;AEP - CYR;;No Regular Internacional;11;;4
2024;AEP - CYR;;No Regular Internacional;4;0;1
2023;AEP - DZO;;No Regular Internacional;3;0;1
2024;AEP - DZO;;No Regular Internacional;7;;1
2025;AEP - EHL;;No Regular Cabotaje;0;0;0,5
2024;AEP - EIS;;No Regular Internacional;10;;1
2022;AEP - ELO;;No Regular Cabotaje;3,5;0;1
2022;AEP - ENO;;Av. Gral Cabotaje;1,5;;1
2023;AEP - ENO;;Av. Gral Cabotaje;0;;0,5
2024;AEP - ENO;;Av. Gral Cabotaje;0;;0,5
2022;AEP - EPA;;Av. Gral Cabotaje;156,5;8479;112
2023;AEP - EPA;;Av. Gral Cabotaje;133;8441;135,5
2024;AEP - EPA;;Av. Gral Cabotaje;213;4294;122
2025;AEP - EPA;;Av. Gral Cabotaje;203,5;7110;138
2022;AEP - EPA;;No Regular Cabotaje;0;0;1
2024;AEP - EPA;;No Regular Cabotaje;0;88;3
2025;AEP - EPA;;No Regular Cabotaje;5;264;6,5
2024;AEP - EPA;;Regular Cabotaje;8,5;39;1
2025;AEP - EPA;;Regular Cabotaje;7,5;273;4,5
2022;AEP - EQS;;Av. Gral Cabotaje;2;;1
2023;AEP - EQS;;Av. Gral Cabotaje;12,5;189;5
2024;AEP - EQS;;Av. Gral Cabotaje;24;0;4,5
2025;AEP - EQS;;Av. Gral Cabotaje;5,5;0;4
2023;AEP - EQS;;No Regular Cabotaje;3,5;7;2
2024;AEP - EQS;;No Regular Cabotaje;58,5;189;10
2025;AEP - EQS;;No Regular Cabotaje;32;0;9,5
2022;AEP - EWR;;Av. Gral Internacional;0;;1
2022;AEP - EZE;;Av. Gral Cabotaje;5;165;15,5
2023;AEP - EZE;;Av. Gral Cabotaje;14;170;19,5
2024;AEP - EZE;;Av. Gral Cabotaje;0,5;189;9,5
2025;AEP - EZE;;Av. Gral Cabotaje;0;95;7,5
2022;AEP - EZE;;No Regular Cabotaje;0,5;1247;20
2023;AEP - EZE;;No Regular Cabotaje;105,5;5022;53
2024;AEP - EZE;;No Regular Cabotaje;7;4064;39,5
2025;AEP - EZE;;No Regular Cabotaje;9,5;2979;47,5
2023;AEP - EZE;;Regular Cabotaje;0;0;0,5
