A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2025;AEP - FTE;Aerol¡neas Argentinas;No Regular Cabotaje;0;340;2
2022;AEP - FTE;Aerol¡neas Argentinas;Regular Cabotaje;348053,5;377189;2247
2023;AEP - FTE;Aerol¡neas Argentinas;Regular Cabotaje;372819,5;399329;2382,5
2024;AEP - FTE;Aerol¡neas Argentinas;Regular Cabotaje;371075,5;412642;2416,5
2025;AEP - FTE;Aerol¡neas Argentinas;Regular Cabotaje;380080;417085;2425
2022;AEP - GIG;Aerol¡neas Argentinas;No Regular Internacional;235;1212;8
2023;AEP - GIG;Aerol¡neas Argentinas;No Regular Internacional;758;2084;14
2024;AEP - GIG;Aerol¡neas Argentinas;No Regular Internacional;0;487;3
2025;AEP - GIG;Aerol¡neas Argentinas;No Regular Internacional;151;872;6
2022;AEP - GIG;Aerol¡neas Argentinas;Regular Internacional;207288;247306;1469
2023;AEP - GIG;Aerol¡neas Argentinas;Regular Internacional;262047;304699;1803
2024;AEP - GIG;Aerol¡neas Argentinas;Regular Internacional;336616;387159;2255
2025;AEP - GIG;Aerol¡neas Argentinas;Regular Internacional;412230;476933;2789
2022;AEP - GRU;Aerol¡neas Argentinas;No Regular Internacional;162;628;5
2023;AEP - GRU;Aerol¡neas Argentinas;No Regular Internacional;0;1044;9
2024;AEP - GRU;Aerol¡neas Argentinas;No Regular Internacional;4;946;6
2025;AEP - GRU;Aerol¡neas Argentinas;No Regular Internacional;0;666;4
2022;AEP - GRU;Aerol¡neas Argentinas;Regular Internacional;329226;416916;2533
2023;AEP - GRU;Aerol¡neas Argentinas;Regular Internacional;398989;464944;2836
2024;AEP - GRU;Aerol¡neas Argentinas;Regular Internacional;378172;469365;2752
2025;AEP - GRU;Aerol¡neas Argentinas;Regular Internacional;344849;439841;2584
2022;AEP - GYN;Aerol¡neas Argentinas;No Regular Internacional;0;192;2
2023;AEP - GYN;Aerol¡neas Argentinas;No Regular Internacional;80;340;2
2022;AEP - GYN;Aerol¡neas Argentinas;Regular Internacional;57;96;1
2023;AEP - GYN;Aerol¡neas Argentinas;Regular Internacional;80;468;3
2022;AEP - IGR;Aerol¡neas Argentinas;No Regular Cabotaje;262;404;2,5
2023;AEP - IGR;Aerol¡neas Argentinas;No Regular Cabotaje;186,5;415;3
2024;AEP - IGR;Aerol¡neas Argentinas;No Regular Cabotaje;226;936;6,5
2025;AEP - IGR;Aerol¡neas Argentinas;No Regular Cabotaje;221;334;2
2022;AEP - IGR;Aerol¡neas Argentinas;Regular Cabotaje;452740;495731;3214
2023;AEP - IGR;Aerol¡neas Argentinas;Regular Cabotaje;470736,5;516087;3521,5
2024;AEP - IGR;Aerol¡neas Argentinas;Regular Cabotaje;484609,5;545873;3762,5
2025;AEP - IGR;Aerol¡neas Argentinas;Regular Cabotaje;540579;616161;4064
2022;AEP - IRJ;Aerol¡neas Argentinas;No Regular Cabotaje;581,5;784;8,5
2023;AEP - IRJ;Aerol¡neas Argentinas;No Regular Cabotaje;1217;1502;14
2022;AEP - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;50317;57234;586
2023;AEP - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;75008;87810;828,5
2024;AEP - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;72532,5;88031;898
2025;AEP - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;70495,5;85852;882,5
2024;AEP - JNI;Aerol¡neas Argentinas;Regular Cabotaje;38,5;48;0,5
2022;AEP - JUJ;Aerol¡neas Argentinas;No Regular Cabotaje;0;340;2
2023;AEP - JUJ;Aerol¡neas Argentinas;No Regular Cabotaje;62;346;2,5
2024;AEP - JUJ;Aerol¡neas Argentinas;No Regular Cabotaje;0;133;1
2022;AEP - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;193266,5;224268;1551
2023;AEP - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;200421,5;226072;1635,5
2024;AEP - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;203372,5;237600;1750,5
2025;AEP - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;197150;225920;1778
2023;AEP - JUL;Aerol¡neas Argentinas;Regular Internacional;153;170;1
2022;AEP - LIM;Aerol¡neas Argentinas;No Regular Internacional;13;362;3
2023;AEP - LIM;Aerol¡neas Argentinas;No Regular Internacional;0;340;2
2025;AEP - LIM;Aerol¡neas Argentinas;No Regular Internacional;0;170;1
2022;AEP - LIM;Aerol¡neas Argentinas;Regular Internacional;82572;108124;640
2023;AEP - LIM;Aerol¡neas Argentinas;Regular Internacional;101808;122592;722
2024;AEP - LIM;Aerol¡neas Argentinas;Regular Internacional;97041;121054;710
2025;AEP - LIM;Aerol¡neas Argentinas;Regular Internacional;97260;120030;698
2024;AEP - LSC;Aerol¡neas Argentinas;No Regular Internacional;78;96;1
2024;AEP - LSC;Aerol¡neas Argentinas;Regular Internacional;74;96;1
2022;AEP - LUQ;Aerol¡neas Argentinas;Av. Gral Cabotaje;139;144;1,5
2023;AEP - LUQ;Aerol¡neas Argentinas;Av. Gral Cabotaje;23;0;1
2022;AEP - LUQ;Aerol¡neas Argentinas;No Regular Cabotaje;317,5;1152;11,5
2023;AEP - LUQ;Aerol¡neas Argentinas;No Regular Cabotaje;0;96;1
2024;AEP - LUQ;Aerol¡neas Argentinas;No Regular Cabotaje;0;69;0,5
2022;AEP - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;68424;80152;802,5
2023;AEP - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;72302,5;85759;858
2024;AEP - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;58808,5;74026;755
2025;AEP - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;56999,5;66502;679,5
2023;AEP - MCS;Aerol¡neas Argentinas;Regular Cabotaje;94,5;96;1
2024;AEP - MCS;Aerol¡neas Argentinas;Regular Cabotaje;155;192;2
2025;AEP - MDE;Aerol¡neas Argentinas;Regular Internacional;60;128;1
2023;AEP - MDQ;Aerol¡neas Argentinas;Av. Gral Cabotaje;3,5;0;1,5
2022;AEP - MDQ;Aerol¡neas Argentinas;No Regular Cabotaje;0;506;4,5
2023;AEP - MDQ;Aerol¡neas Argentinas;No Regular Cabotaje;1,5;48;0,5
2025;AEP - MDQ;Aerol¡neas Argentinas;No Regular Cabotaje;76;181;1,5
2022;AEP - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;208346;254130;1932,5
2023;AEP - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;233555;282372;2397,5
2024;AEP - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;219259;257759;2246,5
2025;AEP - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;241861;279013;2312,5
2022;AEP - MDZ;Aerol¡neas Argentinas;Av. Gral Cabotaje;42;48;0,5
2023;AEP - MDZ;Aerol¡neas Argentinas;Av. Gral Cabotaje;10;0;0,5
2022;AEP - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;219;1422;12,5
2023;AEP - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;332,5;1633;12
2024;AEP - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;44;505;4
2025;AEP - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;84,5;681;5,5
2022;AEP - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;558862;632431;4502
2023;AEP - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;585795;664156;5079
2024;AEP - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;520821;594185;4586
2025;AEP - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;574320,5;665776;5082
2022;AEP - MJR;Aerol¡neas Argentinas;Regular Cabotaje;31;48;0,5
2023;AEP - MJR;Aerol¡neas Argentinas;Regular Cabotaje;3,5;0;0,5
2022;AEP - MLZ;Aerol¡neas Argentinas;Regular Internacional;82;96;1
2023;AEP - MOR;Aerol¡neas Argentinas;Regular Cabotaje;158,5;170;1
2022;AEP - MVD;Aerol¡neas Argentinas;No Regular Internacional;131;416;4
2023;AEP - MVD;Aerol¡neas Argentinas;No Regular Internacional;0;288;3
2024;AEP - MVD;Aerol¡neas Argentinas;No Regular Internacional;190;554;5
2025;AEP - MVD;Aerol¡neas Argentinas;No Regular Internacional;6;628;5
2022;AEP - MVD;Aerol¡neas Argentinas;Regular Internacional;133576;180947;1544
2023;AEP - MVD;Aerol¡neas Argentinas;Regular Internacional;209972;263199;2256
2024;AEP - MVD;Aerol¡neas Argentinas;Regular Internacional;199685;246812;2106
2025;AEP - MVD;Aerol¡neas Argentinas;Regular Internacional;169983;216834;1883
2022;AEP - NQN;Aerol¡neas Argentinas;No Regular Cabotaje;82;218;1,5
2024;AEP - NQN;Aerol¡neas Argentinas;No Regular Cabotaje;166,5;314;2,5
2025;AEP - NQN;Aerol¡neas Argentinas;No Regular Cabotaje;78;170;1
2022;AEP - NQN;Aerol¡neas Argentinas;Regular Cabotaje;326349,5;369087;2439
2023;AEP - NQN;Aerol¡neas Argentinas;Regular Cabotaje;400260;451018;2903,5
2024;AEP - NQN;Aerol¡neas Argentinas;Regular Cabotaje;417226,5;479904;3125
2025;AEP - NQN;Aerol¡neas Argentinas;Regular Cabotaje;432846,5;492057;3387,5
2023;AEP - OES;Aerol¡neas Argentinas;Regular Cabotaje;82,5;85;0,5
2024;AEP - OES;Aerol¡neas Argentinas;Regular Cabotaje;210;250;2
2025;AEP - OES;Aerol¡neas Argentinas;Regular Cabotaje;157;181;1,5
2023;AEP - ORA;Aerol¡neas Argentinas;Regular Cabotaje;72,5;85;0,5
2024;AEP - ORA;Aerol¡neas Argentinas;Regular Cabotaje;50;64;0,5
2022;AEP - PDP;Aerol¡neas Argentinas;No Regular Internacional;0;320;3
2023;AEP - PDP;Aerol¡neas Argentinas;No Regular Internacional;0;96;1
2024;AEP - PDP;Aerol¡neas Argentinas;No Regular Internacional;0;192;2
2025;AEP - PDP;Aerol¡neas Argentinas;No Regular Internacional;0;436;3
2022;AEP - PDP;Aerol¡neas Argentinas;Regular Internacional;58923;82608;607
2023;AEP - PDP;Aerol¡neas Argentinas;Regular Internacional;74334;97458;763
2024;AEP - PDP;Aerol¡neas Argentinas;Regular Internacional;79736;103619;824
2025;AEP - PDP;Aerol¡neas Argentinas;Regular Internacional;90535;118984;975
2024;AEP - PEH;Aerol¡neas Argentinas;Regular Cabotaje;44,5;48;0,5
2024;AEP - PLU;Aerol¡neas Argentinas;Regular Internacional;319;340;2
2022;AEP - PMY;Aerol¡neas Argentinas;No Regular Cabotaje;169;197;1,5
2022;AEP - PMY;Aerol¡neas Argentinas;Regular Cabotaje;78057,5;90890;585
2023;AEP - PMY;Aerol¡neas Argentinas;Regular Cabotaje;92487;110810;681,5
2024;AEP - PMY;Aerol¡neas Argentinas;Regular Cabotaje;73560,5;83352;549,5
2025;AEP - PMY;Aerol¡neas Argentinas;Regular Cabotaje;93351;104358;677,5
2023;AEP - POA;Aerol¡neas Argentinas;No Regular Internacional;0;298;2
2022;AEP - POA;Aerol¡neas Argentinas;Regular Internacional;32845;45478;335
2023;AEP - POA;Aerol¡neas Argentinas;Regular Internacional;73100;86552;576
2024;AEP - POA;Aerol¡neas Argentinas;Regular Internacional;30077;37632;225
2025;AEP - POA;Aerol¡neas Argentinas;Regular Internacional;41085;53151;328
2023;AEP - PRA;Aerol¡neas Argentinas;Av. Gral Cabotaje;31;48;0,5
2022;AEP - PRA;Aerol¡neas Argentinas;No Regular Cabotaje;0,5;421;4
2024;AEP - PRA;Aerol¡neas Argentinas;No Regular Cabotaje;0;48;0,5
2022;AEP - PRA;Aerol¡neas Argentinas;Regular Cabotaje;31125;43717;452,5
2023;AEP - PRA;Aerol¡neas Argentinas;Regular Cabotaje;51319;70512;718,5
2024;AEP - PRA;Aerol¡neas Argentinas;Regular Cabotaje;38143,5;48807;506,5
2025;AEP - PRA;Aerol¡neas Argentinas;Regular Cabotaje;40989;49383;512,5
2023;AEP - PSS;Aerol¡neas Argentinas;No Regular Cabotaje;0;218;1,5
2024;AEP - PSS;Aerol¡neas Argentinas;No Regular Cabotaje;0;133;1
2025;AEP - PSS;Aerol¡neas Argentinas;No Regular Cabotaje;38;96;1
2022;AEP - PSS;Aerol¡neas Argentinas;Regular Cabotaje;101777,5;118991;899
2023;AEP - PSS;Aerol¡neas Argentinas;Regular Cabotaje;178001,5;205803;1615,5
2024;AEP - PSS;Aerol¡neas Argentinas;Regular Cabotaje;151724,5;179024;1534,5
2025;AEP - PSS;Aerol¡neas Argentinas;Regular Cabotaje;160615,5;184212;1646
2024;AEP - PUJ;Aerol¡neas Argentinas;No Regular Internacional;0;180;1
2022;AEP - PUJ;Aerol¡neas Argentinas;Regular Internacional;119;170;1
2025;AEP - PUJ;Aerol¡neas Argentinas;Regular Internacional;160;170;1
2022;AEP - RAF;Aerol¡neas Argentinas;Regular Cabotaje;122;133;1
2023;AEP - RAF;Aerol¡neas Argentinas;Regular Cabotaje;48;64;0,5
2024;AEP - RAF;Aerol¡neas Argentinas;Regular Cabotaje;42;48;0,5
2024;AEP - RCU;Aerol¡neas Argentinas;No Regular Cabotaje;0;48;0,5
2022;AEP - RCU;Aerol¡neas Argentinas;Regular Cabotaje;25617,5;33829;352
2023;AEP - RCU;Aerol¡neas Argentinas;Regular Cabotaje;28294;36980;382,5
2024;AEP - RCU;Aerol¡neas Argentinas;Regular Cabotaje;24458;36048;373,5
2025;AEP - RCU;Aerol¡neas Argentinas;Regular Cabotaje;10511,5;14112;147
2024;AEP - REL;Aerol¡neas Argentinas;No Regular Cabotaje;425,5;444;2,5
2025;AEP - REL;Aerol¡neas Argentinas;No Regular Cabotaje;0;340;2
2022;AEP - REL;Aerol¡neas Argentinas;Regular Cabotaje;169504,5;192644;1157
2023;AEP - REL;Aerol¡neas Argentinas;Regular Cabotaje;188765;229717;1447,5
2024;AEP - REL;Aerol¡neas Argentinas;Regular Cabotaje;205498;238254;1571,5
2025;AEP - REL;Aerol¡neas Argentinas;Regular Cabotaje;214275;248946;1694
2022;AEP - RES;Aerol¡neas Argentinas;Av. Gral Cabotaje;134,5;133;1
2023;AEP - RES;Aerol¡neas Argentinas;Av. Gral Cabotaje;49;64;0,5
2022;AEP - RES;Aerol¡neas Argentinas;No Regular Cabotaje;71;218;1,5
2023;AEP - RES;Aerol¡neas Argentinas;No Regular Cabotaje;0;48;0,5
2024;AEP - RES;Aerol¡neas Argentinas;No Regular Cabotaje;44,5;133;1
2025;AEP - RES;Aerol¡neas Argentinas;No Regular Cabotaje;0;96;1
2022;AEP - RES;Aerol¡neas Argentinas;Regular Cabotaje;181929;212033;1470
2023;AEP - RES;Aerol¡neas Argentinas;Regular Cabotaje;147887;167652;1467,5
2024;AEP - RES;Aerol¡neas Argentinas;Regular Cabotaje;157868;182278;1692,5
2025;AEP - RES;Aerol¡neas Argentinas;Regular Cabotaje;147371,5;167110;1636
2024;AEP - RGA;Aerol¡neas Argentinas;Av. Gral Cabotaje;0;85;0,5
2023;AEP - RGA;Aerol¡neas Argentinas;No Regular Cabotaje;65,5;510;3
2024;AEP - RGA;Aerol¡neas Argentinas;No Regular Cabotaje;67;175;1
2025;AEP - RGA;Aerol¡neas Argentinas;No Regular Cabotaje;57;149;1
2022;AEP - RGA;Aerol¡neas Argentinas;Regular Cabotaje;109264;130778;826
2023;AEP - RGA;Aerol¡neas Argentinas;Regular Cabotaje;126021;149064;907
2024;AEP - RGA;Aerol¡neas Argentinas;Regular Cabotaje;101937;123311;732
2025;AEP - RGA;Aerol¡neas Argentinas;Regular Cabotaje;133196,5;157911;924
2022;AEP - RGL;Aerol¡neas Argentinas;Av. Gral Cabotaje;147;170;1
2023;AEP - RGL;Aerol¡neas Argentinas;No Regular Cabotaje;40,5;133;1
2024;AEP - RGL;Aerol¡neas Argentinas;No Regular Cabotaje;77,5;85;0,5
2022;AEP - RGL;Aerol¡neas Argentinas;Regular Cabotaje;174069,5;201236;1326,5
2023;AEP - RGL;Aerol¡neas Argentinas;Regular Cabotaje;198943;222161;1478
2024;AEP - RGL;Aerol¡neas Argentinas;Regular Cabotaje;150431,5;174557;1079
2025;AEP - RGL;Aerol¡neas Argentinas;Regular Cabotaje;100412,5;117055;682
2022;AEP - RHD;Aerol¡neas Argentinas;No Regular Cabotaje;480,5;1287;9
2023;AEP - RHD;Aerol¡neas Argentinas;No Regular Cabotaje;0;510;3
2024;AEP - RHD;Aerol¡neas Argentinas;No Regular Cabotaje;0;85;0,5
2025;AEP - RHD;Aerol¡neas Argentinas;No Regular Cabotaje;242,5;733;4,5
2022;AEP - RHD;Aerol¡neas Argentinas;Regular Cabotaje;18582;23765;196,5
2023;AEP - RHD;Aerol¡neas Argentinas;Regular Cabotaje;11765;17069;144,5
2024;AEP - RHD;Aerol¡neas Argentinas;Regular Cabotaje;10575;14579;145,5
2025;AEP - RHD;Aerol¡neas Argentinas;Regular Cabotaje;16922;22047;219
2022;AEP - RLO;Aerol¡neas Argentinas;Regular Cabotaje;674;816;8,5
2023;AEP - RLO;Aerol¡neas Argentinas;Regular Cabotaje;8486;9710;99
2024;AEP - RLO;Aerol¡neas Argentinas;Regular Cabotaje;7427;10139;101
2025;AEP - RLO;Aerol¡neas Argentinas;Regular Cabotaje;13585,5;16509;169,5
2024;AEP - ROS;Aerol¡neas Argentinas;Av. Gral Cabotaje;44;48;0,5
2022;AEP - ROS;Aerol¡neas Argentinas;No Regular Cabotaje;4;288;3
2023;AEP - ROS;Aerol¡neas Argentinas;No Regular Cabotaje;137;1006;8
2024;AEP - ROS;Aerol¡neas Argentinas;No Regular Cabotaje;101,5;904;7
2025;AEP - ROS;Aerol¡neas Argentinas;No Regular Cabotaje;45;536;4,5
2022;AEP - ROS;Aerol¡neas Argentinas;Regular Cabotaje;147332,5;241528;1895
2023;AEP - ROS;Aerol¡neas Argentinas;Regular Cabotaje;149298;221577;1827,5
2024;AEP - ROS;Aerol¡neas Argentinas;Regular Cabotaje;127684;179062;1557,5
2025;AEP - ROS;Aerol¡neas Argentinas;Regular Cabotaje;117240;168889;1275
2022;AEP - RSA;Aerol¡neas Argentinas;No Regular Cabotaje;114,5;240;2,5
2023;AEP - RSA;Aerol¡neas Argentinas;No Regular Cabotaje;2;48;0,5
2022;AEP - RSA;Aerol¡neas Argentinas;Regular Cabotaje;26763;31861;331,5
2023;AEP - RSA;Aerol¡neas Argentinas;Regular Cabotaje;51325,5;58966;607,5
2024;AEP - RSA;Aerol¡neas Argentinas;Regular Cabotaje;41391;53575;556,5
2025;AEP - RSA;Aerol¡neas Argentinas;Regular Cabotaje;41625;48825;506,5
2023;AEP - RYO;Aerol¡neas Argentinas;Regular Cabotaje;70,5;85;0,5
2022;AEP - SCL;Aerol¡neas Argentinas;No Regular Internacional;0;458;4
2023;AEP - SCL;Aerol¡neas Argentinas;No Regular Internacional;0;532;4
2024;AEP - SCL;Aerol¡neas Argentinas;No Regular Internacional;157;340;2
2025;AEP - SCL;Aerol¡neas Argentinas;No Regular Internacional;56;680;4
2022;AEP - SCL;Aerol¡neas Argentinas;Regular Internacional;217439;282406;1720
2023;AEP - SCL;Aerol¡neas Argentinas;Regular Internacional;320978;378956;2302
2024;AEP - SCL;Aerol¡neas Argentinas;Regular Internacional;266808;325848;1985
2025;AEP - SCL;Aerol¡neas Argentinas;Regular Internacional;258740;315139;1885
2023;AEP - SDE;Aerol¡neas Argentinas;Av. Gral Cabotaje;40;48;0,5
2022;AEP - SDE;Aerol¡neas Argentinas;No Regular Cabotaje;0;288;3
2023;AEP - SDE;Aerol¡neas Argentinas;No Regular Cabotaje;283,5;1144;9
2024;AEP - SDE;Aerol¡neas Argentinas;No Regular Cabotaje;30;240;2,5
2025;AEP - SDE;Aerol¡neas Argentinas;No Regular Cabotaje;191;1973;16,5
2022;AEP - SDE;Aerol¡neas Argentinas;Regular Cabotaje;102684,5;121447;869
2023;AEP - SDE;Aerol¡neas Argentinas;Regular Cabotaje;119751;142364;1079
2024;AEP - SDE;Aerol¡neas Argentinas;Regular Cabotaje;111337,5;135005;1126,5
2025;AEP - SDE;Aerol¡neas Argentinas;Regular Cabotaje;102468,5;122459;1064
2023;AEP - SFN;Aerol¡neas Argentinas;Av. Gral Cabotaje;3,5;0;0,5
2022;AEP - SFN;Aerol¡neas Argentinas;No Regular Cabotaje;48;864;9
2023;AEP - SFN;Aerol¡neas Argentinas;No Regular Cabotaje;63;384;4
2024;AEP - SFN;Aerol¡neas Argentinas;No Regular Cabotaje;0;229;2
2025;AEP - SFN;Aerol¡neas Argentinas;No Regular Cabotaje;49;421;4
2022;AEP - SFN;Aerol¡neas Argentinas;Regular Cabotaje;59730;76238;783,5
2023;AEP - SFN;Aerol¡neas Argentinas;Regular Cabotaje;83771,5;106494;1083
2024;AEP - SFN;Aerol¡neas Argentinas;Regular Cabotaje;71512;93369;953
2025;AEP - SFN;Aerol¡neas Argentinas;Regular Cabotaje;91903;110321;1084
2023;AEP - SJK;Aerol¡neas Argentinas;No Regular Internacional;0;192;2
2023;AEP - SJK;Aerol¡neas Argentinas;Regular Internacional;3;480;5
2024;AEP - SJK;Aerol¡neas Argentinas;Regular Internacional;0;96;1
2023;AEP - SJP;Aerol¡neas Argentinas;Regular Internacional;151;170;1
2022;AEP - SLA;Aerol¡neas Argentinas;No Regular Cabotaje;84,5;373;3,5
2023;AEP - SLA;Aerol¡neas Argentinas;No Regular Cabotaje;261;458;3,5
2024;AEP - SLA;Aerol¡neas Argentinas;No Regular Cabotaje;136,5;197;1,5
2025;AEP - SLA;Aerol¡neas Argentinas;No Regular Cabotaje;48;96;1
2022;AEP - SLA;Aerol¡neas Argentinas;Regular Cabotaje;423406;463555;3144
2023;AEP - SLA;Aerol¡neas Argentinas;Regular Cabotaje;431716;473149;3587,5
2024;AEP - SLA;Aerol¡neas Argentinas;Regular Cabotaje;399460,5;447687;3208,5
2025;AEP - SLA;Aerol¡neas Argentinas;Regular Cabotaje;398176;451600;3191
2022;AEP - SSA;Aerol¡neas Argentinas;Regular Internacional;39353;49625;296
2023;AEP - SSA;Aerol¡neas Argentinas;Regular Internacional;64960;74126;439
2024;AEP - SSA;Aerol¡neas Argentinas;Regular Internacional;59516;74810;423
2025;AEP - SSA;Aerol¡neas Argentinas;Regular Internacional;78419;97868;555
2024;AEP - TRU;Aerol¡neas Argentinas;Regular Internacional;114;340;2
2023;AEP - TUC;Aerol¡neas Argentinas;Av. Gral Cabotaje;1,5;0;1
2022;AEP - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;0;288;3
2023;AEP - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;53;586;5
2024;AEP - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;181;245;2
2025;AEP - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;24;1285;9
2022;AEP - TUC;Aerol¡neas Argentinas;Regular Cabotaje;299918,5;327235;2331
2023;AEP - TUC;Aerol¡neas Argentinas;Regular Cabotaje;361470;405598;2921,5
2024;AEP - TUC;Aerol¡neas Argentinas;Regular Cabotaje;305395,5;340405;2547,5
2025;AEP - TUC;Aerol¡neas Argentinas;Regular Cabotaje;313255;353419;2781,5
2023;AEP - UAQ;Aerol¡neas Argentinas;No Regular Cabotaje;0;64;0,5
2024;AEP - UAQ;Aerol¡neas Argentinas;No Regular Cabotaje;46;85;0,5
2025;AEP - UAQ;Aerol¡neas Argentinas;No Regular Cabotaje;212,5;676;5,5
2022;AEP - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;142751;164625;1199
2023;AEP - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;180920,5;213380;1643,5
2024;AEP - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;146195;171508;1434,5
2025;AEP - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;119282,5;136160;1312
2023;AEP - USH;Aerol¡neas Argentinas;Av. Gral Cabotaje;79;85;0,5
2022;AEP - USH;Aerol¡neas Argentinas;No Regular Cabotaje;261;468;3
2023;AEP - USH;Aerol¡neas Argentinas;No Regular Cabotaje;135;558;3,5
2024;AEP - USH;Aerol¡neas Argentinas;No Regular Cabotaje;554,5;860;5
2025;AEP - USH;Aerol¡neas Argentinas;No Regular Cabotaje;156;445;2,5
2022;AEP - USH;Aerol¡neas Argentinas;Regular Cabotaje;341214;366260;2165
2023;AEP - USH;Aerol¡neas Argentinas;Regular Cabotaje;356168,5;384513;2285
2024;AEP - USH;Aerol¡neas Argentinas;Regular Cabotaje;418907;480642;2806
2025;AEP - USH;Aerol¡neas Argentinas;Regular Cabotaje;428604;481104;2793,5
2022;AEP - VDM;Aerol¡neas Argentinas;Regular Cabotaje;33239,5;37815;386,5
2023;AEP - VDM;Aerol¡neas Argentinas;Regular Cabotaje;33619;38283;397,5
2024;AEP - VDM;Aerol¡neas Argentinas;Regular Cabotaje;33695;41337;428,5
2025;AEP - VDM;Aerol¡neas Argentinas;Regular Cabotaje;34315;39183;404,5
2024;AEP - VIX;Aerol¡neas Argentinas;Regular Internacional;160;170;1
2023;AEP - VMA;Aerol¡neas Argentinas;Regular Cabotaje;38;48;0,5
2024;AEP - VMA;Aerol¡neas Argentinas;Regular Cabotaje;36,5;48;0,5
2025;AEP - VMA;Aerol¡neas Argentinas;Regular Cabotaje;81;96;1
2023;AEP - VME;Aerol¡neas Argentinas;Regular Cabotaje;158;192;2
2024;AEP - VME;Aerol¡neas Argentinas;Regular Cabotaje;35;48;0,5
2022;AEP - VVI;Aerol¡neas Argentinas;No Regular Internacional;0;192;2
2023;AEP - VVI;Aerol¡neas Argentinas;No Regular Internacional;0;192;2
2024;AEP - VVI;Aerol¡neas Argentinas;No Regular Internacional;0;96;1
2022;AEP - VVI;Aerol¡neas Argentinas;Regular Internacional;52499;65890;675
2023;AEP - VVI;Aerol¡neas Argentinas;Regular Internacional;57999;68272;705
2024;AEP - VVI;Aerol¡neas Argentinas;Regular Internacional;48429;59856;545
2025;AEP - VVI;Aerol¡neas Argentinas;Regular Internacional;18415;23413;240
2022;AFA - AFA;Aerol¡neas Argentinas;Regular Cabotaje;86,5;144;1,5
2023;AFA - AFA;Aerol¡neas Argentinas;Regular Cabotaje;167,5;192;2
2025;AFA - AFA;Aerol¡neas Argentinas;Regular Cabotaje;83,5;96;1
2023;AFA - COR;Aerol¡neas Argentinas;Regular Cabotaje;45,5;48;0,5
2025;AFA - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;41,5;48;0,5
2022;AFA - EZE;Aerol¡neas Argentinas;Regular Cabotaje;423;528;5,5
2023;AFA - EZE;Aerol¡neas Argentinas;Regular Cabotaje;45;48;0,5
2025;AFA - EZE;Aerol¡neas Argentinas;Regular Cabotaje;885;1200;12,5
2022;AFA - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;1;96;1
2025;AGT - EZE;Aerol¡neas Argentinas;No Regular Internacional;55;96;1
2025;AGT - MDZ;Aerol¡neas Argentinas;Regular Internacional;0;96;1
2022;ANF - COR;Aerol¡neas Argentinas;Regular Internacional;45;128;1
2025;AQP - IRJ;Aerol¡neas Argentinas;Regular Internacional;71;96;1
2022;AQP - TUC;Aerol¡neas Argentinas;No Regular Internacional;54;96;1
2025;AQP - TUC;Aerol¡neas Argentinas;Regular Internacional;135;192;2
2023;ARR - COR;Aerol¡neas Argentinas;Regular Cabotaje;37,5;48;0,5
2022;ARR - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;0;48;0,5
2025;ASU - COR;Aerol¡neas Argentinas;No Regular Internacional;94;96;1
2022;ASU - COR;Aerol¡neas Argentinas;Regular Internacional;91;96;1
2025;ASU - COR;Aerol¡neas Argentinas;Regular Internacional;596;606;4
