IDProy;CategObra;Obra;ObraWeb;Total;IATA;SNA;Provincia;total_m;anterior_m;a2025_m;a2026_m;a2027_m;posterior_m;Ant1024;agosto;septiembre;octubre;noviembre;diciembre;A2025;A2026;A2027;PeriPost
478 - 2,5;Terminal de pasajeros;GOIA - Aeropuerto Formosa - Nueva Terminal de Pasajeros - Modificacion de Monto;Nueva Terminal de Pasajeros;30045340678;FMA;Grupo A;FORMOSA;30045,34 M;5922,71 M;7724,77 M;16397,86 M;0,00 M;0,00 M;5922712067;0;1280195404;2521593768;2194707431;1728274651;7724771254;16397857357;0;0
158 - 2,5;Terminal de pasajeros;GOIA - Aeropuerto Iguazœ - Nueva Terminal de Pasajeros  Modificacion de Monto;Nueva Terminal de Pasajeros;2111020170;IGR;Grupo A;MISIONES;2111,02 M;2011,02 M;100,00 M;0,00 M;0,00 M;0,00 M;2011020170;0;100000000;0;0;0;100000000;0;0;0
205 - 2,5;Contra Incendios;GOIA - Aeropuerto San Fernando - Nuevo S.E.I.  ;Nuevo S.E.I.  ;81695000;FDO;Grupo A;BUENOS AIRES;81,70 M;31,70 M;50,00 M;0,00 M;0,00 M;0,00 M;31695000;0;0;50000000;0;0;50000000;0;0;0
127 - 2,5;Plataforma;GOIA - Aeropuerto Salta - Iluminacion de Plataforma -;Iluminacion de Plataforma;45604907;SLA;Grupo A;SALTA;45,60 M;20,60 M;25,00 M;0,00 M;0,00 M;0,00 M;20604907;0;0;25000000;0;0;25000000;0;0;0
133 - 2,5;Torre de Control;GOIA - Aeropuerto San Fernando - Nueva Torre de Control   ; Nueva Torre de Control   ;685960155;FDO;Giupo A;BUENOS AIRES;685,96 M;585,96 M;100,00 M;0,00 M;0,00 M;0,00 M;585960155,1;0;0;100000000;0;0;100000000;0;0;0
273 - 2,5;Terminal de pasajeros;GOIA - Aeropuerto Jorge Newbery - Readecuacion de Partidas y Arribos Internacionales (Internacionalizacion de la Terminal) ; Readecuacion de Partidas y Arribos Internacionales (Internacionalizacion de la Terminal) ;1264803849;AEP;Grupo A;CABA;1264,80 M;1214,80 M;50,00 M;0,00 M;0,00 M;0,00 M;1214803849;0;0;50000000;0;0;50000000;0;0;0
375 - 2,5;Terminal de pasajeros;GOIA - Aeropuerto San Juan - Nueva Terminal de Pasajeros - Modificacion de Monto;Nueva Terminal de Pasajeros;13860687904;UAQ;Giupo A;SAN JUAN;13860,69 M;7557,19 M;3044,81 M;3258,68 M;0,00 M;0,00 M;7557191706;126047656;1179133082;475057062;528991389;735584734;3044813922;3258682275;0;0
82 - 11,25;EANA (MT) - 20 - 11,25%;EANA (MT) -Paran‡- UGSEC;;67846860;PRA;SNA;ENTRE RIOS;67,85 M;56,22 M;0,00 M;0,00 M;0,00 M;11,63 M;56218662;0;0;0;0;0;0;0;0;11628198
39 - 11,25;Contra Incendios;GOYEU -  Aeropuerto de Sauce viejo  - Provincia de Santa Fe - Instalacion contra incendio en las terminales aeroportuarias - Modificacion de Monto-;Instalacion contra incendio en las terminales aeroportuarias;2409580000;SFN;Grupo B;SANTA FE;2409,58 M;0,00 M;0,00 M;0,00 M;2409,58 M;0,00 M;0;0;0;0;0;0;0;0;2409580000;0
83 - 11,25;Contra Incendios;GOYEU -  Aeropuerto de Rosario  - Provincia de Santa Fe - Instalacion contra incendio en las terminales aeroportuarias - Modificacion de Monto-;Instalacion contra incendio en las terminales aeroportuarias;279004000;ROS;Grupo B;SANTA FE;279,00 M;0,00 M;0,00 M;0,00 M;279,00 M;0,00 M;0;0;0;0;0;0;0;0;279004000;0
