mes;mes_nombre;iata;cabotaje;internacional;TotalPasajeros
3;Mar;CRD;506;2;508
4;Abr;CRD;482;0;482
5;May;CRD;475;0;475
6;Jun;CRD;492;0;492
7;Jul;CRD;544;0;544
8;Ago;CRD;497;0;497
9;Sep;CRD;498;0;498
10;Oct;CRD;542;0;542
11;Nov;CRD;490;0;490
12;Dic;CRD;511;1;512
1;Ene;CTC;81;0;81
2;Feb;CTC;67;0;67
3;Mar;CTC;74;0;74
4;Abr;CTC;121;0;121
5;May;CTC;129;0;129
6;Jun;CTC;114;0;114
7;Jul;CTC;132;0;132
8;Ago;CTC;113;0;113
9;Sep;CTC;131;1;132
10;Oct;CTC;132;0;132
11;Nov;CTC;111;0;111
12;Dic;CTC;120;0;120
1;Ene;EPA;35;0;35
2;Feb;EPA;28;0;28
3;Mar;EPA;29;0;29
4;Abr;EPA;62;0;62
5;May;EPA;73;0;73
6;Jun;EPA;41;0;41
7;Jul;EPA;117;0;117
8;Ago;EPA;80;0;80
9;Sep;EPA;106;0;106
10;Oct;EPA;82;0;82
11;Nov;EPA;47;0;47
12;Dic;EPA;40;0;40
1;Ene;EQS;66;0;66
2;Feb;EQS;79;0;79
3;Mar;EQS;71;0;71
4;Abr;EQS;52;0;52
5;May;EQS;43;0;43
6;Jun;EQS;50;0;50
7;Jul;EQS;90;0;90
8;Ago;EQS;87;0;87
9;Sep;EQS;76;0;76
10;Oct;EQS;123;0;123
11;Nov;EQS;88;0;88
12;Dic;EQS;57;0;57
1;Ene;EZE;2370;4592;6962
2;Feb;EZE;2171;4199;6370
3;Mar;EZE;2539;4459;6998
4;Abr;EZE;1585;3621;5206
5;May;EZE;1566;3561;5127
6;Jun;EZE;1560;3520;5080
7;Jul;EZE;2486;4032;6518
8;Ago;EZE;2453;3955;6408
9;Sep;EZE;2339;3870;6209
10;Oct;EZE;2443;4186;6629
11;Nov;EZE;2532;4440;6972
12;Dic;EZE;3083;4825;7908
1;Ene;FDO;218;165;383
2;Feb;FDO;337;242;579
3;Mar;FDO;648;215;863
4;Abr;FDO;824;310;1134
5;May;FDO;639;221;860
6;Jun;FDO;650;190;840
7;Jul;FDO;820;157;977
8;Ago;FDO;898;234;1132
9;Sep;FDO;670;196;866
10;Oct;FDO;806;217;1023
11;Nov;FDO;823;268;1091
12;Dic;FDO;1117;490;1607
1;Ene;FMA;83;0;83
2;Feb;FMA;89;1;90
3;Mar;FMA;77;0;77
4;Abr;FMA;85;0;85
5;May;FMA;103;0;103
6;Jun;FMA;100;0;100
7;Jul;FMA;112;1;113
8;Ago;FMA;117;1;118
9;Sep;FMA;123;0;123
10;Oct;FMA;111;0;111
11;Nov;FMA;110;0;110
12;Dic;FMA;112;0;112
1;Ene;FTE;910;25;935
2;Feb;FTE;763;20;783
3;Mar;FTE;849;11;860
4;Abr;FTE;511;4;515
5;May;FTE;332;1;333
6;Jun;FTE;266;0;266
7;Jul;FTE;314;0;314
8;Ago;FTE;339;0;339
9;Sep;FTE;495;0;495
10;Oct;FTE;684;1;685
11;Nov;FTE;846;3;849
12;Dic;FTE;926;20;946
1;Ene;GPO;17;0;17
2;Feb;GPO;6;0;6
3;Mar;GPO;6;0;6
4;Abr;GPO;2;0;2
5;May;GPO;1;0;1
6;Jun;GPO;7;0;7
7;Jul;GPO;3;0;3
8;Ago;GPO;12;0;12
9;Sep;GPO;13;0;13
10;Oct;GPO;18;0;18
11;Nov;GPO;14;0;14
12;Dic;GPO;23;0;23
1;Ene;GNR;2;0;2
2;Feb;GNR;20;0;20
3;Mar;GNR;31;0;31
4;Abr;GNR;24;0;24
5;May;GNR;22;0;22
6;Jun;GNR;22;0;22
7;Jul;GNR;15;0;15
8;Ago;GNR;21;0;21
9;Sep;GNR;23;0;23
10;Oct;GNR;22;0;22
11;Nov;GNR;44;0;44
12;Dic;GNR;24;0;24
1;Ene;IGR;1098;15;1113
2;Feb;IGR;995;5;1000
3;Mar;IGR;1285;11;1296
4;Abr;IGR;998;12;1010
5;May;IGR;963;2;965
6;Jun;IGR;899;13;912
7;Jul;IGR;1028;3;1031
8;Ago;IGR;1020;7;1027
9;Sep;IGR;1021;15;1036
10;Oct;IGR;1056;8;1064
11;Nov;IGR;1057;7;1064
12;Dic;IGR;1102;34;1136
1;Ene;IRJ;62;0;62
2;Feb;IRJ;57;0;57
3;Mar;IRJ;72;0;72
4;Abr;IRJ;107;0;107
5;May;IRJ;115;1;116
6;Jun;IRJ;109;0;109
7;Jul;IRJ;114;0;114
8;Ago;IRJ;110;0;110
9;Sep;IRJ;113;0;113
10;Oct;IRJ;108;0;108
11;Nov;IRJ;110;0;110
12;Dic;IRJ;112;0;112
1;Ene;JNI;10;0;10
2;Feb;JNI;0;0;0
3;Mar;JNI;17;0;17
4;Abr;JNI;26;0;26
5;May;JNI;33;0;33
6;Jun;JNI;21;0;21
7;Jul;JNI;22;0;22
8;Ago;JNI;26;0;26
9;Sep;JNI;24;0;24
10;Oct;JNI;22;0;22
11;Nov;JNI;9;0;9
12;Dic;JNI;17;0;17
1;Ene;JUJ;360;20;380
2;Feb;JUJ;330;17;347
3;Mar;JUJ;400;18;418
4;Abr;JUJ;300;14;314
5;May;JUJ;297;19;316
6;Jun;JUJ;305;17;322
7;Jul;JUJ;360;18;378
8;Ago;JUJ;353;20;373
9;Sep;JUJ;344;16;360
10;Oct;JUJ;358;18;376
11;Nov;JUJ;332;18;350
12;Dic;JUJ;335;13;348
1;Ene;LGS;1;0;1
2;Feb;LGS;0;0;0
3;Mar;LGS;0;0;0
4;Abr;LGS;0;0;0
5;May;LGS;2;0;2
6;Jun;LGS;3;0;3
7;Jul;LGS;0;0;0
8;Ago;LGS;2;0;2
9;Sep;LGS;2;0;2
10;Oct;LGS;4;0;4
11;Nov;LGS;4;0;4
12;Dic;LGS;0;0;0
1;Ene;LPG;129;0;129
2;Feb;LPG;93;0;93
3;Mar;LPG;151;0;151
4;Abr;LPG;151;0;151
5;May;LPG;125;0;125
6;Jun;LPG;157;0;157
7;Jul;LPG;109;0;109
8;Ago;LPG;117;0;117
9;Sep;LPG;129;0;129
10;Oct;LPG;177;0;177
11;Nov;LPG;122;0;122
12;Dic;LPG;119;0;119
1;Ene;LUQ;64;0;64
2;Feb;LUQ;48;0;48
3;Mar;LUQ;59;0;59
4;Abr;LUQ;58;0;58
5;May;LUQ;60;0;60
6;Jun;LUQ;60;0;60
7;Jul;LUQ;70;0;70
8;Ago;LUQ;73;0;73
9;Sep;LUQ;71;0;71
10;Oct;LUQ;79;1;80
11;Nov;LUQ;60;0;60
12;Dic;LUQ;64;0;64
1;Ene;MDQ;570;22;592
2;Feb;MDQ;428;6;434
3;Mar;MDQ;350;2;352
4;Abr;MDQ;297;12;309
5;May;MDQ;236;2;238
6;Jun;MDQ;258;2;260
7;Jul;MDQ;275;1;276
8;Ago;MDQ;255;5;260
9;Sep;MDQ;274;0;274
10;Oct;MDQ;269;2;271
11;Nov;MDQ;329;2;331
12;Dic;MDQ;341;4;345
1;Ene;MDZ;1359;453;1812
2;Feb;MDZ;1210;400;1610
3;Mar;MDZ;1471;406;1877
4;Abr;MDZ;1325;364;1689
5;May;MDZ;1273;405;1678
6;Jun;MDZ;1123;437;1560
7;Jul;MDZ;1341;536;1877
8;Ago;MDZ;1267;449;1716
9;Sep;MDZ;1286;406;1692
10;Oct;MDZ;1382;417;1799
11;Nov;MDZ;1416;397;1813
12;Dic;MDZ;1403;410;1813
1;Ene;NQN;828;3;831
2;Feb;NQN;766;3;769
3;Mar;NQN;942;0;942
4;Abr;NQN;959;1;960
5;May;NQN;953;0;953
